CT1_CONTA,CT1_DESC01
1111010001,CAIXA MATRIZ  01
1111010002,CAIXA FILIAIS
1111010003,FUNDO FIXO DE CAIXA GERAL - TESOURARIA
1111010004,FUNDO FIXO CAIXA TESOURARIA - RENDIMENTO
1111010005,FUNDO FIXO DE CAIXA FILIAL SP
1111010006,FUNDO FIXO DE CAIXA JURIDICO
1111010007,FUNDO FIXO DE CAIXA FILIAL PE
1111010008,FUNDO FIXO DE CAIXA - PORTO ALEGRE
1111010009,FUNDO FIXO DE CAIXA - BELÉM
1111010010,FUNDO FIXO DE CAIXA - EA CENTRO OESTE
1111010011,FUNDO FIXO DE CAIXA - INFRAESTRUTURA
1111010012,FUNDO FIXO DE CAIXA GACC
1111010013,FUNDO FIXO DE CAIXA EA SALVADOR
1111019988,EA JERUSALEM_CAIXINHA
1111019989,EA DUBAI_CAIXINHA
1111019993,FUNDO FIXO DE CAIXA - EXPO OSAKA 2025
1111019995,CCRED PRÉ PAGO - SEDE
1111019996,CARTÃO PRÉ-PAGO - BCO RENDIMENTO - GOFC
1111019997,EA HAVANA_CAIXINHA (USD)
1111019998,EA BOGOTA_CAIXINHA
1112010001,C/C 7364-4 ARRECADACAO
1112010002,C/C 431589-8 OPERACOES FINANCEIRAS
1112010003,BB-C/C: 431611-8 - FAO DISPONIBILIDADES
1112010097,C/C 6503-X BACEN JUD
1112010098,C/C 5494-1 -AG 3307-3 HON DE SUCUMBEN
1112020001,C/C 6010-3 APEXPORT
1112020002,C/C 6048-0 CONSIGNACAO CEF
1112020003,C/C 3192-8 SICONV - TRIB RETIDOS NA F
1112020004,ATIVOS DE APLICACOES FINANCEIRAS
1112030001,BANCO ITAU C/C AG 0542
1112040001,BANCO SANTANDER BRASIL SA
1112049999,BCO SANTANDER
1112050001,BRADESCO - AG 7979 CC 0010125-7 REMES
1112050002,BRADESCO AG 03416  CC 0110125-0 - FOP
1112060001,C/C 78948000-1 - AG 0003 - REMESSAS
1112060002,C/T - APEX - NUMERARIO EM TRANSITO (U
1112060003,CARTAO VISA BANCO RENDIMENTO EMPRESAR
1112070001,EA DUBAI_HSBC 035-847722-001
1112070002,EA MIAMI_BB_EUA_OPERACAO
1112070003,EA BRUXELAS_BB 4940510888
1112070004,EA BRUXELAS_BB 4940511888
1112070005,EA HAVANA_METROPOLITANO 233
1112070006,EA MOSCOU_VTB 40807810800020000006
1112070007,EA PEQUIM_CONTA CORRENTE #1
1112070008,EA MIAMI_CITIBANK_EUA_FOLHA
1112070009,EA MIAMI_CITIBANK_EUA_FORMULA INDY
1112070010,EA MOSCOU_VTB 40807840900020000002
1112070011,EA MIAMI_CITIBANK_BR_OPERACAO
1112070012,EA MIAMI_CITIBANK_BR_FORMULA INDY
1112070013,EA MIAMI_CITIBANK_BR_PROMOCAO
1112070014,EA LUANDA_BIC_C/C_67537786.10.001
1112070015,EA LUANDA_BIC_C/C_67537786.30.001
1112070016,EA PEQUIM_CONTA CORRENTE #2
1112070017,EA LUANDA_STANDARD_C/C_1000103315
1112070018,EA LUANDA_STANDARD_C/C_1000103285
1112070019,EA LUANDA_BIC_C/C_67537786.32.001
1112070020,ING BELGICA SA 310-1774780-57 - PROMO
1112070021,ING BELGICA - 310-1774779-56 MANUTENC
1112070022,ING BELGICA 363-5495068-58 - MANUTENC
1112070023,EA BOGOTA CITIBANK C/C 5-076091-015
1112070024,ING BELGICA 363-5495074-64 - MANUTENC
1112070025,ING BELGICA 375-1042548-71 - MANUTENC
1112070026,EA BOGOTA CITIBANK C/C 0-076091-013
1112070027,RAIFFEISEN MOSCOU 7978300000000009 EU
1112070028,RAIFFEISEN MOSCOU 7840300000000014 US
1112070029,RAIFFEISEN MOSCOU 7810000000000043 RU
1112070030,EA HAVANA_BFI
1112070031,EA HAVANA_METROPOL (USD) 523320037150
1112070032,EA MIAMI_BB_11000023367
1112070033,EA MIAMI_BB_11000025011
1112070034,EA DUBAI_EMIRATES NBD 1015256007101 A
1112070035,EA PEQUIM CONTA CORRENTE CITIC 2 #3
1112070036,EA PEQUIM CONTA CORRENTE CITIC 2  USD #4
1112070037,EA JERUSALEM_BANK LEUMI 414400/14 095 US
1112070038,RAIFFEISEN RUS 40807756300000000027 CHF
1112070039,RAIFFEISEN RUS 40807156300000000216 CNY
1112079997,BB TOQUIO CC 480400-1
1112079998,EMIRATES NBD - ACCOUNT Nº 1015732116501
1112079999,BANCO DO BRASIL - NEW YORK BRANCH (686-6
1112080001,TRANSFERENCIAS FINANCEIRAS MATRIZ
1112080002,(-) CHEQUES A COMPENSAR
1112080003,TRANSFERENCIAS FINANCEIRAS FILIAIS
1112080004,(+/-) CTA POUPANCA CONVENIOS MDIC
1112080099,TRANSFERENCIAS EM CURSO
1112090001,BANCO BTG PACTUAL S.A
1112100001,XP INVESTIMENTOS - CC 1565267
1113010001,C/C 5144-6 DEVOLUCAO DE PROJETOS
1113010002,C/C 5706-1 APEX/MDIC MISSOES
1113010003,C/C 5906-4 CONVENIO BID
1113010004,C/C 6059-3 CONVENIO/MDIC MISSOES 2012
1113010005,C/C 6054-2 CONVENIO/MDIC DESIGN
1113010006,C/C: 6114-X APEX/MDIC CONVENIO PESQ E
1113010007,6263-4 C/C - CONV MODA BRASIL
1113010008,6264-2 C/C - CONV EXPO MILAO
1113010009,6430-0 C/C - CONV MDIC CASA BRASIL
1113019979,C/C 431588-X PROJETOS
1113019980,C/C 430601-5 DIARIAS DE PROJETOS
1113019987,C/C 5613-8 APEX/MDIC EXPOXANGAI
1113019988,C/C 5698-7 PATR. EXPOXANGAI/VALE
1113019989,C/C 5746-0 APEX/EDC DUBAI - MISSOES
1113019990,C/C 5818-1 RECURSOS ENTIDADE PUBLICA
1113019991,C/C 5817-3 PATROCINIO PRIVADO
1113019992,C/C 5770-3 PATROCINIO PETROBRAS
1113019993,C/C 5744-4 PATROCINIO ELETROBRAS
1113019994,C/C 5769-X PATROCINIO BB
1113019995,C/C 5805-X PATR.ELETROBRAS PROJ.IMAGE
1113019996,C/C 6057-7 CONVENIO/MDIC COMPETITIVID
1113019997,C/C 6060-7 CONVENIO/MDIC DESENV. PMES
1113019998,C/C 220-8 PATROCINIO ELETROBRAS RIO+2
1113019999,C/C 120-1 PATROCINIO ECT/CORREIOS RIO
1114010001,BB/CP 431589-8P CUSTEIO
1114010002,BB/CP 431589-8 RENDE FACIL
1114010003,BC/CP BB RENDE FÁCIL - 5494-1R - HON SUC
1114010004,BB RENDE FACIL - FAO 4316118R
1114010099,C/P 5494-VR01P-3307-3 HON DE SUCUMBEN
1114010100,C/P 5494-VR51P-3307-3 HON DE SUCUMBEN
1114060001,BRADESCO INVEST FACIL AG3416
1115010001,BB/CP 5706-1 APEX/MDIC MISSOES
1115010002,BB/CP 6059-3 CONVENIO/MDIC MISSOES
1115010003,BB/CP 6054-2 CONVENIO/MDIC DESIGN
1115010004,BB/CP 120-1 PATROCINIO CORREIOS RIO+2
1115010006,BB-POUP 6114-X APEX/MDIC CONVENIO PES
1115010007,BB-F/A 6114-X APEX/MDIC CONVENIO PESQ
1115010008,BB/CP 5906-4P - CONVENIO BID
1115010009,BB / FUNDO 6263-4 CONV MODA BRASIL
1115010010,BB / FUNDO 6264-2 CONV EXPO MILAO
1115010011,BB / POUPANCA 6264-2 CONV EXPO MILAO
1115010012,BB / POUP 6263-4P - CONV MDIC MODABRA
1115010013,BB FUNDO DE APLICACAO BB AMPLO 7364-4
1115010014,BB F/A - 6430-0A - CONV MDIC CASA BRA
1115010015,BB POUP - 6430-0P- CONV MDIC CASA BRA
1115019995,BB/CP 5613-8 APEX/MDIC EXPOXANGAI
1115019996,BB/CP 6057-7 CONVENIO/MDIC COMPETITIV
