"AKC_PROCES","AKC_ITEM","AKC_SEQ","AKC_XDOC"
"000002","01","07","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900013","01","04","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900013","01","05","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900013","01","06","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900013","01","08","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900013","01","09","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900013","01","10","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"000006","01","02","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","03","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","01","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","02","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","04","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","03","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","04","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","05","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","10","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","11","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","12","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","13","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","14","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900014","01","01","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"900014","01","02","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000001","01","03","""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"000001","01","04","""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"000004","01","01","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","02","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","07","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","03","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","08","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","04","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","09","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","05","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","22","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","23","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","24","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","14","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","15","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","16","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000359","02","08","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000359","02","09","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000006","01","05","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000359","02","10","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000006","01","06","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900013","01","21","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"000005","01","32","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","33","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000001","01","09","""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"000005","01","34","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","24","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","25","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900014","01","03","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000004","01","11","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","26","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000006","01","26","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900014","01","04","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000004","01","12","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","01","27","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000002","01","13","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"000005","01","28","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000002","01","14","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"000002","01","15","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900013","01","15","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900013","01","23","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
