"CT5_LANPAD","CT5_SEQUEN","CT5_ORIGEM","CT5_DESC","CT5_XDOC"
"000","001","""LP: 000-001""                                                                                       ",VARIAÇÃO CAMBIAL MODELO 2                                                                           ,"""CQB""+CVALTOCHAR(CQB->(RECNO()))                                                                    "
"200","001","""LP: 200-001""                                                                                       ",CONTABILIZAÇÃO TXT - DEBITO                                                                         ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"200","002","""LP: 200-002""                                                                                       ",CONTABILIZAÇÃO TXT - CREDITO                                                                        ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"200","003","""LP: 200-003""                                                                                       ",CONTABILIZACAO TXT - D/C                                                                            ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"500","001","""LP: 500-001""                                                                                       ",CONTAS A RECEBER - INCLUSAO DE TITULOS - NCC (FISCAL)                                               ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"500","003","""LP: 500-003""                                                                                       ",CONTAS A RECEBER - INCLUSAO DE TITULOS  (FISCAL)                                                    ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"500","004","""LP: 500-004""                                                                                       ",CONTAS A RECEBER - INCLUSAO DE TITULOS - REPASSE RFB TAXA (FISCAL)                                  ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"500","006","""LP: 500-006""                                                                                       ",CONTAS A RECECER - VENDA DE CURSOS  (FISCAL)                                                        ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"500","007","""LP: 500-007""                                                                                       ",CONTAS A RECEBER - VENDA DE CURSOS - TX CIELO (FISCAL)                                              ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"500","008","""LP: 500-008""                                                                                       ",CONTAS A RECECER - VENDA DE CURSOS  (FISCAL)                                                        ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"501","001","""LP: 501-001""                                                                                       ",CONTAS A RECEBER - INCLUSAO DE TITULOS RECEBIMENTO ANTECIPADO (RA) (FISCAL)                         ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"502","001","""LP: 502-001""                                                                                       ",CONTAS A RECEBER - EXCLUSAO DE TITULOS RA (FISCAL)                                                  ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"505","001","""LP: 505-001""                                                                                       ",CONTAS A RECEBER - EXCLUSAO DE TITULOS - NCC (FISCAL)                                               ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"505","003","""LP: 505-003""                                                                                       ",EXCLUSAO CONTAS A RECEBER - INCLUSAO DE TITULOS  (FISCAL)                                           ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"505","004","""LP: 505-004""                                                                                       ",EXCLUSÃO DE TITULOS -  REPASSE RFB TAXA (FISCAL)                                                    ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"505","006","""LP: 505-006""                                                                                       ",CONTAS A RECECER - EXCLUSAO TITULOS - VENDA DE CURSOS                                               ,"""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"510","001","""LP: 510-001""                                                                                       ",CONTAS A PAGAR - INCLUSAO DE TITULOS - DEBITO (FISCAL)                                              ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"510","002","""LP: 510-002""                                                                                       ",CONTAS A PAGAR - INCLUSAO DE TITULOS - CREDITO (FISCAL)                                             ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"510","003","""LP: 510-003""                                                                                       ",CONTAS A PAGAR - INCLUSAO DE TITULOS - RETENCAO DO CIDE (FISCAL)                                    ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"510","004","""LP: 510-004""                                                                                       ",CONTAS A PAGAR - INCLUSAO DE TITULOS - RETENCAO DO IRRF (FISCAL)                                    ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"510","005","""LP: 510-005""                                                                                       ",CONTAS A PAGAR - INCLUSAO DE TITULOS - RETENCAO DO INSS (FISCAL)                                    ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
