"X3_ARQUIVO","X3_ORDEM","X3_CAMPO","X3_TIPO","X3_TAMANHO","X3_DECIMAL","X3_TITULO","X3_TITSPA","X3_TITENG","X3_DESCRIC","X3_DESCSPA","X3_DESCENG","X3_PICTURE","X3_USADO","X3_F3","X3_NIVEL","X3_RESERV","X3_CHECK","X3_TRIGGER","X3_PROPRI","X3_BROWSE","X3_VISUAL","X3_CONTEXT","X3_OBRIGAT","X3_CBOX","X3_CBOXSPA","X3_CBOXENG","X3_GRPSXG","X3_FOLDER","X3_PYME","X3_CONDSQL","X3_CHKSQL","X3_IDXSRV","X3_ORTOGRA","X3_IDXFLD","X3_TELA","X3_PICBRV","X3_AGRUP","X3_POSLGT","X3_MODAL","D_E_L_E_T_","R_E_C_N_O_","R_E_C_D_E_L_","X3_VALID","X3_RELACAO","X3_VLDUSER","X3_PICTVAR","X3_WHEN","X3_INIBRW"
AKD,"01",AKD_FILIAL,C,6,0,Filial      ,Sucursal    ,Branch      ,Filial do Sistema        ,Sucursal del sistema     ,System Branch            ,                                             ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x       ,      ,1,                , , , , ,V, ,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,"033", ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","2", ,4748,0,                                                                                                                                                                ,                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"02",AKD_STATUS,C,1,0,Status Lanc.,Estatus Reg.,Entry Status,Status do Lancamento     ,Estatus del Registro     ,Entry Status             ,                                             ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ,      ,1,    xx          , , , ,N,A, ,  x     ,"1=Aprovado;2=Invalido;3=Estornado                                                                                               ","1=Aprobado;2=Invalido;3=Revertido                                                                                               ","1=Approved;2=Invalid                                                                                                            ",   , ,S,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","2", ,4749,0,"Pertence(""12"")                                                                                                                                                  ","""1""                                                                                                                                                             ",                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"03",AKD_LOTE  ,C,10,0,Lote        ,Lote        ,Lot         ,Lote de Lancamentos      ,Lote de Asientos         ,Entry Lot                ,@!                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x xxx   ,      ,1,    xxx         , , , ,S,A,R,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,   , ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4750,0,"ExistChav(""AKD"").And.FreeForUse(""AKD"")                                                                                                                          ","GetSXENum(""AKD"",""AKD_LOTE"")                                                                                                                                     ",                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"04",AKD_ID    ,C,4,0,Item        ,Item        ,Item        ,Item do Lancamento       ,Item del asiento         ,Entry Date               ,@!                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x xx    ,      ,1,  x xxxx        , , , ,S,A,R,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,   , ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4751,0,                                                                                                                                                                ,                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"05",AKD_DATA  ,D,8,0,Data        ,Fecha       ,Date        ,Data do Lancamento       ,Fecha del Asiento        ,Entry Date               ,@D                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x xx    ,      ,1,    xxx         , , , ,S,A,R,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,   , ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4752,0,                                                                                                                                                                ,dDataBase                                                                                                                                                       ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"06",AKD_CO    ,C,20,0,C.O.        ,C.P         ,B.C.        ,Conta Orcamentaria       ,Centro Presupuestario    ,Budgetary Center         ,                                             ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x xx    ,AK5   ,1,    xxx         , , , ,S,A,R,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,"013", ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4753,0,A050VldCO( M->AKD_CO )                                                                                                                                          ,                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"07",AKD_CLASSE,C,6,0,Classe      ,Clase       ,Category    ,Classe de Valor          ,Clase de Valor           ,Value Category           ,@!                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ,AK6   ,1,    xxx         , ,S, ,S,A,R,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,   , ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4754,0,"ExistCpo(""AK6"")                                                                                                                                                 ",                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"08",AKD_OPER  ,C,10,0,Operacao    ,Operacion   ,Operation   ,Operacao                 ,Operacion                ,Operation                ,@!                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ,AKF   ,1,    xx x        , , , ,S,A,R,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,   , ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","2", ,4755,0,"ExistCpo(""AKF"")                                                                                                                                                 ",                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"09",AKD_TIPO  ,C,1,0,Tipo        ,Tipo        ,Type        ,Tipo do Lancamento       ,Tipo de Asiento          ,Entry Type               ,@!                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ,      ,1,    xxx         , , , ,S,A, ,  x     ,"1=Credito;2=Debito;3=Estorno                                                                                                    ","1=Ingreso;2=Gasto;3=Reversion                                                                                                   ","1=Receipt; 2=Expense; 3=Reversal                                                                                                ",   , ,N,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4756,0,"Pertence(""12"")                                                                                                                                                  ",                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
AKD,"10",AKD_TPSALD,C,2,0,Tp. Saldo   ,Tp. Saldo   ,Balance Type,Tipo de Saldo            ,Tipo de Saldo            ,Balance Type             ,@!                                           ,x       x       x       x       x       x       x       x       x       x       x       x       x       x       x xx    ,AL2A  ,1,    xxx         , , , ,S,A, ,  x     ,                                                                                                                                ,                                                                                                                                ,                                                                                                                                ,   , ,S,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,N,N,N,               ,                                                  ,   ,"1","1", ,4757,0,"ExistCpo(""AL2"")                                                                                                                                                 ",                                                                                                                                                                ,                                                                                                                                                                ,                                                  ,                                                                                                    ,                                                                                                    
