reason_signature;candidatos;selecionados;taxa_selecao
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|texto|tokens|valor;72541;2;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|valor;64552;273;0.42
doc_hist_1|ent05_conta|texto|tokens|valor;18603;0;0.0
ent05_conta|texto|tokens|valor;15817;0;0.0
competencia|doc_hist_1|ent05_conta|texto|tokens|valor;9383;1;0.01
competencia|ent05_conta|texto|tokens|valor;7975;0;0.0
cc|competencia|texto|tokens|valor;5960;171;2.87
cc|ent05_conta|tokens|valor;5579;0;0.0
cc|competencia|tokens|valor;5488;0;0.0
competencia|ent05_conta|valor;4753;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|valor;4233;2;0.05
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|texto|tokens|valor;2869;1937;67.51
cc|ent05_conta|valor;2241;0;0.0
cc|ent05_conta|texto|tokens|valor;2195;0;0.0
akd_xdoc_ct2_recno|cc|competencia|competencia_conta_cc|doc_hist_1|ent05_conta|texto|tokens|valor;1803;1803;100.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|valor;1772;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|valor;1757;0;0.0
cc|competencia|competencia_conta_cc|ent05_conta|texto|tokens|valor;1547;5;0.32
cc|doc_hist_1|ent05_conta|texto|tokens|valor;1426;0;0.0
cc|chave_estruturada|doc_extra|ent05_conta|tokens|valor;1157;0;0.0
cc|chave_estruturada|doc_extra|tokens|valor;1124;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;1100;559;50.82
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|texto|tokens|valor;1035;19;1.84
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;1012;20;1.98
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;1010;412;40.79
cc|competencia|competencia_conta_cc|ent05_conta|tokens|valor;921;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor;900;2;0.22
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;838;146;17.42
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor;822;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|texto|valor;817;0;0.0
cc|chave_estruturada|doc_extra|ent05_conta|texto|tokens|valor;761;0;0.0
cc|chave_estruturada|doc_extra|texto|tokens|valor;756;0;0.0
cc|classe_valor|conta_cc_classe|ent05_conta|valor;662;5;0.76
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;636;589;92.61
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;626;295;47.12
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor;622;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor;602;0;0.0
cc|competencia|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;580;28;4.83
