base;campo;preenchidos;fill_rate;distintos;exemplos
AKD;AKD_CHAVE;20346;100.0;13438;SE5011001VLRRF122025   001RFB202601130000030101
AKD;AKD_LOTE;20346;100.0;4958;0000205512
AKD;AKD_ID;20346;100.0;2742;0001 | 0002 | 0003
AKD;AKD_CLASSE;20346;100.0;1710;000001
AKD;AKD_DATA;20346;100.0;82;20260113
AKD;AKD_CODPLA;20346;100.0;7;RECEITAS.2026
AKD;AKD_TPSALD;20346;100.0;4;AR | RB
AKD;AKD_STATUS;20346;100.0;3;1
AKD;AKD_TIPO;20346;100.0;2;1 | 2
AKD;AKD_CLVLR;20339;99.97;432;00000000000000003167
AKD;AKD_CC;20340;99.97;80;06030501
AKD;AKD_UNIORC;20336;99.95;13;011001
AKD;AKD_ITEM;20318;99.86;4;01
AKD;AKD_ENT05;20294;99.74;152;4111010001 | 4111010099
AKD;AKD_XDOC;20180;99.18;13339;SE5240379
AKD;AKD_XCLSDE;9486;46.62;4;1
AKD;AKD_OPER;7514;36.93;1635;0000022121
AKD;AKD_XNUMAP;4712;23.16;1698;0000321298 | 0000321303
AKD;AKD_IDREF;1;0.0;1;""""
AKD;AKD_ITCTB;1;0.0;1;06010903
AKD;AKD_ENT06;1;0.0;1;3123030015
AKD;AKD_FILIAL;0;0.0;0;
AKD;AKD_ENT07;0;0.0;0;
