base;campo;preenchidos;fill_rate;distintos;exemplos
CT2;CT2_LINHA;27966;100.0;2186;001 | 002 | 003
CT2;CT2_DOC;27966;100.0;202;000001
CT2;CT2_DATA;27966;100.0;82;20260131
CT2;CT2_FILIAL;27966;100.0;14;011000
CT2;CT2_LOTE;27966;100.0;13;000991
CT2;CT2_ROTINA;27966;100.0;12;CTBA102
CT2;CT2_DC;27966;100.0;2;2
CT2;CT2_SBLOTE;27966;100.0;1;001
CT2;CT2_MOEDLC;27966;100.0;1;01
CT2;CT2_TPSALD;27964;99.99;2;1
CT2;CT2_ORIGEM;27923;99.85;53;APCTB04
CT2;CT2_XDOCUM;20904;74.75;9399;831428 | 831430 | 831461
CT2;CT2_CREDIT;15427;55.16;161;2113010001 | 2113030001 | 2115010008
CT2;CT2_AT01CR;14580;52.13;6707;SF123866 | SF124243
CT2;CT2_XDOC;14578;52.13;6706;SE5240581 | SF123866
CT2;CT2_DEBITO;12539;44.84;237;2117010001 | 3121010001 | 3121030001
CT2;CT2_CCC;11780;42.12;80;06030603
CT2;CT2_CCD;11720;41.91;82;06030603
CT2;CT2_AT04DB;7561;27.04;1679;0000322081 | 0000322276
CT2;CT2_CLVLCR;6597;23.59;308;00000000000000007888 | 00000000000000007982 | 00000000000000008115
CT2;CT2_CLVLDB;5919;21.16;308;00000000000000003168 | 00000000000000007888 | 00000000000000007982
CT2;CT2_XNUMCT;1786;6.39;464;02012026 | 05012026
CT2;CT2_ITEMD;1641;5.87;472;F00000101 | F01503801
CT2;CT2_ITEMC;1119;4.0;361;F00000101 | F01503801
CT2;CT2_DCD;0;0.0;0;
CT2;CT2_DCC;0;0.0;0;
CT2;CT2_HP;0;0.0;0;
CT2;CT2_ATIVDE;0;0.0;0;
CT2;CT2_ATIVCR;0;0.0;0;
CT2;CT2_CODCLI;0;0.0;0;
CT2;CT2_CODFOR;0;0.0;0;
