grupo;comparacao;iguais;diferentes;akd_vazio;ct2_vazio;taxa_igualdade
nao_selecionados;ano;251500;0;0;0;100.0
nao_selecionados;cc;191704;52919;21;6856;78.37
nao_selecionados;chave_doc;231;55305;0;195964;0.42
nao_selecionados;chave_token;1429;54107;0;195964;2.57
nao_selecionados;classe_valor;154586;5304;21;91589;96.68
nao_selecionados;cliente_fornecedor;0;0;251500;0;0
nao_selecionados;codpla_origem;0;251500;0;0;0.0
nao_selecionados;conta_ref;158015;93473;12;0;62.83
nao_selecionados;filial;0;0;251500;0;0
nao_selecionados;historico_doc;40406;61697;147137;2260;39.57
nao_selecionados;historico_expandido_doc;8823;34793;207882;2;20.23
nao_selecionados;idref_xnumct;0;0;251500;0;0
nao_selecionados;item_contabil;0;0;251500;0;0
nao_selecionados;mes;197234;54266;0;0;78.42
nao_selecionados;tipo_tpsald;0;251500;0;0;0.0
nao_selecionados;trimestre;251500;0;0;0;100.0
nao_selecionados;xdoc_at01cr;2147;53415;367;195571;3.86
nao_selecionados;xdoc_ct2_doc;0;251133;367;0;0.0
nao_selecionados;xdoc_exato;2147;53408;367;195578;3.86
nao_selecionados;xdoc_token;2147;248986;367;0;0.85
nao_selecionados;xnumap_at04db;7044;20820;223124;512;25.28
nao_selecionados;xnumap_xdocum;7044;20820;223124;512;25.28
selecionados;ano;9867;0;0;0;100.0
selecionados;cc;9028;237;3;599;97.44
selecionados;chave_doc;229;4159;0;5479;5.22
selecionados;chave_token;867;3521;0;5479;19.76
selecionados;classe_valor;5326;13;3;4525;99.76
selecionados;cliente_fornecedor;0;0;9867;0;0
selecionados;codpla_origem;0;9867;0;0;0.0
selecionados;conta_ref;7229;2632;6;0;73.31
selecionados;filial;0;0;9867;0;0
selecionados;historico_doc;4774;1866;3226;1;71.9
selecionados;historico_expandido_doc;2484;470;6912;1;84.09
selecionados;idref_xnumct;0;0;9867;0;0
selecionados;item_contabil;0;0;9867;0;0
selecionados;mes;9698;169;0;0;98.29
selecionados;tipo_tpsald;0;9866;0;1;0.0
selecionados;trimestre;9867;0;0;0;100.0
selecionados;xdoc_at01cr;1710;2924;137;5096;36.9
selecionados;xdoc_ct2_doc;0;9730;137;0;0.0
selecionados;xdoc_exato;1710;2924;137;5096;36.9
selecionados;xdoc_token;1710;8020;137;0;17.57
selecionados;xnumap_at04db;2991;11;6689;176;99.63
selecionados;xnumap_xdocum;2991;11;6689;176;99.63
