comparacao;akd_campo;ct2_campos;tipo_normalizacao;akd_distintos;ct2_distintos;distintos_em_comum;taxa_overlap_akd;taxa_overlap_ct2
xdoc_exato;AKD_XDOC;CT2_XDOC;text;13339;6706;1683;12.62;25.1
xdoc_at01cr;AKD_XDOC;CT2_AT01CR;text;13339;6707;1683;12.62;25.09
xdoc_token;AKD_XDOC;CT2_XDOC|CT2_DOC;token;13338;6907;1683;12.62;24.37
xnumap_xdocum;AKD_XNUMAP;CT2_XDOCUM;text;1698;9399;1668;98.23;17.75
xnumap_at04db;AKD_XNUMAP;CT2_AT04DB;text;1698;1679;1668;98.23;99.34
historico_doc;AKD_HIST;CT2_HIST;doc;2734;2974;1574;57.57;52.93
historico_expandido_doc;AKD_XHISTO;CT2_HIST;doc;2353;2974;1458;61.96;49.02
chave_token;AKD_CHAVE;CT2_KEY;token;10267;4498;755;7.35;16.79
chave_doc;AKD_CHAVE;CT2_KEY;doc;12148;4441;442;3.64;9.95
classe_valor;AKD_CLVLR;CT2_CLVLDB|CT2_CLVLCR;text;432;308;306;70.83;99.35
conta_ref;AKD_ENT05;CT2_DEBITO|CT2_CREDIT;text;152;262;120;78.95;45.8
cc;AKD_CC;CT2_CCD|CT2_CCC;text;80;82;79;98.75;96.34
mes;AKD_DATA;CT2_DATA;month;3;3;3;100.0;100.0
ano;AKD_DATA;CT2_DATA;year;1;1;1;100.0;100.0
trimestre;AKD_DATA;CT2_DATA;quarter;1;1;1;100.0;100.0
xdoc_ct2_doc;AKD_XDOC;CT2_DOC;text;13339;202;0;0.0;0.0
idref_xnumct;AKD_IDREF;CT2_XNUMCT;text;1;464;0;0.0;0.0
item_contabil;AKD_ITCTB;CT2_ITEMD|CT2_ITEMC;text;1;472;0;0.0;0.0
filial;AKD_FILIAL;CT2_FILIAL|CT2_FILORI;text;0;15;0;0;0.0
codpla_origem;AKD_CODPLA;CT2_ORIGEM;text;7;53;0;0.0;0.0
tipo_tpsald;AKD_TPSALD;CT2_TPSALD;text;4;2;0;0.0;0.0
cliente_fornecedor;AKD_ENT06;CT2_CODCLI|CT2_CODFOR;text;1;0;0;0.0;0
