akd_recno;rank;ct2_recno_candidato;confidence;score;candidate_sources;reasons;akd_xdoc;akd_xnumap;akd_ent05;akd_cc;akd_clvlr;akd_itctb;ct2_xdoc;ct2_at01cr;ct2_xdocum;ct2_at04db;ct2_debito;ct2_credito;ct2_ccd;ct2_ccc;akd_historico;ct2_historico
2405166;1;2068205;muito_forte;221;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_2:05012026|doc_extra_2:05012026|doc_hist_1:05012026|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150674;;4141060001;06030501;00000000000000003168;;SE5241154;SE5241154;;;1112030001;;06030503;;05012026 -REND APLIC AUTOMAT ITAU;RECBTO S/ TITULO 05012026/ITA ITAU UNIBANCO S.A.-REND APLIC AUTOMAT ITAU
2405166;2;2068206;muito_forte;196;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_2:05012026|doc_extra_2:05012026|doc_hist_1:05012026|competencia|classe_valor|competencia_classe|tokens_2+;SE150674;;4141060001;06030501;00000000000000003168;;SE5241154;SE5241154;;;;1123010004;06030503;06030503;05012026 -REND APLIC AUTOMAT ITAU;RECBTO S/TITULO 05012026 ITAU UNIBANCO S.A.
2413701;1;2092344;muito_forte;211;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:30012026|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150713;;4141010008;06030501;00000000000000003168;;SE5242868;SE5242868;;;1114010003;;06030503;;30012026 -RENDIMENTO BB FACIL 5494-1R;RECBTO S/ TITULO 30012026/R3 BANCO DO BRASIL SA-RENDIMENTO BB FACIL 5494-1R
2413701;2;2092345;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150713;;4141010008;06030501;00000000000000003168;;SE5242868;SE5242868;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO BB FACIL 5494-1R;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2413705;1;2092347;muito_forte;211;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:30012026|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150714;;4141010006;06030501;00000000000000003168;;SE5242869;SE5242869;;;1116010006;;06030503;;30012026 -RENDIMENTO BB FACIL 6503-XR;RECBTO S/ TITULO 30012026/R4 BANCO DO BRASIL SA-RENDIMENTO BB FACIL 6503-XR
2413705;2;2092348;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150714;;4141010006;06030501;00000000000000003168;;SE5242869;SE5242869;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO BB FACIL 6503-XR;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2413927;1;2095279;muito_forte;192;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:30012026|competencia|classe_valor|competencia_classe|tokens_2+|texto_055;SE150731;;4141010001;06030501;00000000000000003168;;SE5242891;SE5242891;;;1116010002;;06030503;;30012026 -RENDIMENTO 7364-4D;RECBTO S/ TITULO 30012026/BB1 BANCO DO BRASIL SA-RENDIMENTO 7364-4D
2413927;2;2095280;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150731;;4141010001;06030501;00000000000000003168;;SE5242891;SE5242891;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO 7364-4D;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2413931;1;2095282;muito_forte;211;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:30012026|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150732;;4141010007;06030501;00000000000000003168;;SE5242892;SE5242892;;;1116010001;;06030503;;30012026 -RENDIMENTO BB FACIL 7364-4R;RECBTO S/ TITULO 30012026/R1 BANCO DO BRASIL SA-RENDIMENTO BB FACIL 7364-4R
2413931;2;2095283;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150732;;4141010007;06030501;00000000000000003168;;SE5242892;SE5242892;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO BB FACIL 7364-4R;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2414885;1;2095733;muito_forte;192;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:30012026|competencia|classe_valor|competencia_classe|tokens_2+|texto_055;SE150761;;4141010003;06030501;00000000000000003168;;SE5243018;SE5243018;;;1114010001;;06030503;;30012026 -RENDIMENTO 431589-8P;RECBTO S/ TITULO 30012026/P1 BANCO DO BRASIL SA-RENDIMENTO 431589-8P
2414885;2;2095734;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150761;;4141010003;06030501;00000000000000003168;;SE5243018;SE5243018;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO 431589-8P;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2415003;1;2095736;muito_forte;211;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:30012026|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150762;;4141010008;06030501;00000000000000003168;;SE5243019;SE5243019;;;1114010002;;06030503;;30012026 -RENDIMENTO BB FACIL 431589-8R;RECBTO S/ TITULO 30012026/R BANCO DO BRASIL SA-RENDIMENTO BB FACIL 431589-8R
2415003;2;2095737;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150762;;4141010008;06030501;00000000000000003168;;SE5243019;SE5243019;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO BB FACIL 431589-8R;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2415090;1;2095781;muito_forte;197;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150765;;4141010005;06030501;00000000000000003168;;SE5243036;SE5243036;;;1114010004;;06030503;;30012026 -TARIFA BANCARIA 431611-8;RECBTO S/ TITULO 30012026/B3 BANCO DO BRASIL SA-TARIFA BANCARIA 431611-8
2415090;2;2095782;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150765;;4141010005;06030501;00000000000000003168;;SE5243036;SE5243036;;;;1123010004;06030503;06030503;30012026 -TARIFA BANCARIA 431611-8;RECBTO S/TITULO 30012026 BANCO DO BRASIL SA
2415130;1;2095790;muito_forte;211;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_2:577498223|competencia|classe_valor|competencia_classe|tokens_4+|texto_055|texto_classe_competencia;SE150766;;4141020001;06030501;00000000000000003168;;SE5243074;SE5243074;;;1116020001;;06030503;;30012026 -RENDIMENTO 577498223-4 FUNDO EXCLUSIVO;RECBTO S/ TITULO 30012026/CX1 CAIXA ECONOMICA FEDERAL-RENDIMENTO 577498223-4 FUNDO EXCLUSIVO
2415130;2;2095791;muito_forte;164;ano_valor|classe_valor_bloco|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:30012026|doc_extra_1:30012026|doc_hist_1:30012026|competencia|classe_valor|competencia_classe;SE150766;;4141020001;06030501;00000000000000003168;;SE5243074;SE5243074;;;;1123010004;06030503;06030503;30012026 -RENDIMENTO 577498223-4 FUNDO EXCLUSIVO;RECBTO S/TITULO 30012026 CAIXA ECONOMICA FEDERAL
