ct2_recno;rank;akd_recno_candidato;confidence;score;candidate_sources;reasons;ct2_xdoc;ct2_at01cr;ct2_xdocum;ct2_at04db;ct2_debito;ct2_credito;akd_xdoc;akd_xnumap;akd_ent05;akd_cc;akd_historico;ct2_historico
2092339;1;2413696;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:22012026|doc_extra_1:22012026|doc_hist_2:22012026|competencia|tokens_4+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2518960;;4141090003;06030501;22012026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;2;2413697;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:22012026|doc_extra_1:22012026|doc_hist_2:22012026|competencia|tokens_4+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2518960;;4141090003;06030501;22012026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;3;2413698;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:22012026|doc_extra_1:22012026|doc_hist_2:22012026|competencia|tokens_4+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2518960;;4141090003;06030501;22012026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;4;2425498;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2525034;;4141090003;06030501;23022026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;5;2425499;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2525034;;4141090003;06030501;23022026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;6;2425500;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2525034;;4141090003;06030501;23022026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;7;2487130;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;8;2487131;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2092339;9;2487132;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5242866;SE5242866;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 22012026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;1;2425498;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:23022026|doc_extra_1:23022026|doc_hist_2:23022026|competencia|tokens_4+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2525034;;4141090003;06030501;23022026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;2;2425499;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:23022026|doc_extra_1:23022026|doc_hist_2:23022026|competencia|tokens_4+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2525034;;4141090003;06030501;23022026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;3;2425500;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:23022026|doc_extra_1:23022026|doc_hist_2:23022026|competencia|tokens_4+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2525034;;4141090003;06030501;23022026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;4;2487130;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;5;2487131;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;6;2487132;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;7;2413696;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2518960;;4141090003;06030501;22012026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;8;2413697;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2518960;;4141090003;06030501;22012026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2108888;9;2413698;provavel;87;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|doc_hist_1:54941P|tokens_2+|texto_055;SE5245773;SE5245773;;;;1114010099;SE2518960;;4141090003;06030501;22012026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23022026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2125501;1;2487130;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:23032026|doc_extra_1:23032026|doc_hist_2:23032026|competencia|tokens_4+|texto_055;SE5249370;SE5249370;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23032026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2125501;2;2487131;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:23032026|doc_extra_1:23032026|doc_hist_2:23032026|competencia|tokens_4+|texto_055;SE5249370;SE5249370;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23032026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
2125501;3;2487132;muito_forte;171;ano_valor|item_valor_bloco|motor_atual|trimestre_valor;valor|chave_estruturada_1:23032026|doc_extra_1:23032026|doc_hist_2:23032026|competencia|tokens_4+|texto_055;SE5249370;SE5249370;;;;1114010099;SE2532598;;4141090003;06030501;23032026 -IRRF POUPAN€A 5494-1P;PGTO S/ TITULO 23032026-RECEITA FEDERAL-IRRF POUPAN€A 5494-1P
