ct2_recno;ct2_lote;ct2_data;ct2_valor;ct2_xdoc;ct2_xdocum;ct2_debito;ct2_credito;ct2_centro_debito;ct2_centro_credito;ct2_historico
2089094;000991;20260131;85.19;;831428;;2113030001;;06030603;D-0082-I.N.S.S. FERIAS 01/2026
2089095;000991;20260131;4480.31;;831461;;2113010001;;06030603;E-0002 - LIQUIDO SALARIAL 01/2026
2089096;000991;20260131;1234.95;;831430;;2115010008;;06030603;D-0480-DESCONTO EMPRESTIMO CREDITO DO TRABALHADOR
2089097;000991;20260131;198.00;;831431;3121030007;1124030008;06030603;06030603;B-0032-TOTAL ENTREGUE VALE TRANSPORTE 01/2026
2089098;000991;20260131;76.68;;831432;;3121030007;;06030603;D-0275-DESC. VALE TRANSPORTE 01/2026
2089099;000991;20260131;296.02;;831433;;2113020006;;06030603;D-0401-DESC. APEXPREV (CONTRIBUICAO PARTICIPANTE) 01/2026
2089101;000991;20260131;68.16;;831435;;3121030004;;06030603;D-0622-PROVISAO APEXPREV PARTICIPANTE - FERIAS 01/2026
2089102;000991;20260131;3648.00;;831436;;2113020002;;06030603;B386 - DESC. PLANO DE SAUDE 01/2026
2089103;000991;20260131;902.88;;831437;;2113030001;;06030603;D-0003-I.N.S.S. 01/2026
2089104;000991;20260131;567.99;;831438;2117010001;;06030603;;P-0077-1/3 FERIAS NO PROXIMO MES 01/2026
2089105;000991;20260131;296.02;;831439;3121030004;2113020006;06030603;06030603;B-0403-APEXPREV CONTRIBUICAO EMPRESA 01/2026
2089106;000991;20260131;3520.32;;831440;3121030001;;06030603;;P-1385-PLANO DE SAUDE 01/2026
2089107;000991;20260131;7667.82;;831441;3121010001;;06030603;;P-0002-DIAS TRABALHADOS
2089108;000991;20260131;32.30;;831442;;2113030007;;06030603;D-0030-IRRF FERIAS 01/2026
2089109;000991;20260131;1703.96;;831443;2117010001;;06030603;;P-0042-FERIAS NO PROXIMO MES 01/2026
2089110;000991;20260131;283.99;;831427;2117010001;;06030603;;P-0076-1/3 FERIAS NO MES 01/2026
2089111;000991;20260131;851.98;;831444;2117010001;;06030603;;P-0041-FERIAS NO MES 01/2026
2089112;000991;20260131;1810.28;;831445;3121030008;2113020009;06030603;06030603;B-0355-AUXILIO ALIMENTACAO BASE DE CALCULO
2089114;000991;20260131;2301.00;;831447;;1124030001;;06030603;D-0019-DESC. ADIANTAMENTO SALARIAL 01/2026
2089115;000991;20260131;344.81;;831448;3121030008;2113020009;06030603;06030603;B-0356-AUXILIO REFEICAO BASE DE CALCULO
2089116;000991;20260131;1463.06;;831449;;2113030007;;06030603;D-0004-IRRF 01/2026
2089117;000991;20260131;2817.70;;831450;;1124030002;;06030603;D-0043-DESC. ADIANTAMENTO LIQUIDO DE FERIAS 01/2026
2089118;000991;20260131;2036.29;;831451;3121030005;;06030603;;P-0453-AUXILIO ENSINO FUNDAMENTAL
2089119;000991;20260131;123.50;;831452;2115010008;;06030603;;C-0487-PROVISAO CREDITO TRAB. FERIAS 1º MES ENVELOPE
2089120;000991;20260131;370.49;;831453;;2115010008;;06030603;D-0489-ADIANTAMENTO PROVISAO EMPREST.CREDITO TRABALHADOR
2089121;000991;20260131;104.35;;831454;3121020003;2113030006;06030603;06030603;B-0902-PIS EMPRESA 01/2026
2089122;000991;20260131;11.36;;831455;2117010004;3121020003;06030603;06030603;E-0066-PIS FERIAS 1% 01/2026
2089123;000991;20260131;70.31;;831456;2117010002;2113030001;06030603;06030603;E-0030-INSS PATRONAL 1/3 DE FERIAS 22,7%+RAT 01/2026
2089124;000991;20260131;90.88;;831457;2117010003;2113030004;06030603;06030603;E-0063 - FGTS FERIAS FUNCS 8% 01/2026
2089125;000991;20260131;210.93;;831458;2117010002;2113030001;06030603;06030603;E-0062-INSS PATRONAL FERIAS 22,7% + RAT 01/2026
2089126;000991;20260131;698.50;;831459;3121020002;2113030004;06030603;06030603;E-0004 - FGTS - FUNCS E DIRETORES 8% 01/2026
2089127;000991;20260131;2161.65;;831460;3121020001;2113030001;06030603;06030603;E-0003-INSS PATRONAL 22,7% + RAT 01/2026
2089128;000991;20260131;42.60;;831429;;2112010005;;06030603;D-0277-DESC. CONTRIBUICAO AEA 01/2026
2145413;999999;20260101;83219480.21;;;1241010002;1241010001;06030401;06030401;SEDE APEX - EDIFICAÇÕES/ESTRUTURA
2145414;999999;20260101;35000000.00;;;1241010007;1241010001;06030401;06030401;SEDE APEX - TERRENOS
2145415;999999;20260101;8321948.02;;;1241010008;1241010001;06030401;06030401;SEDE APEX - MARCENARIA/ESQUADRIAS
2145416;999999;20260101;29126818.07;;;1241010009;1241010001;06030401;06030401;SEDE APEX - INSTALAÇÕES ELÉTRICAS
2145417;999999;20260101;16643896.04;;;1241010011;1241010001;06030401;06030401;SEDE APEX - INSTALAÇÕES HIDRÁULICAS
2145418;999999;20260101;20804870.05;;;1241010012;1241010001;06030401;06030401;SEDE APEX - SISTEMAS DE AR-CONDICIONADO
2145419;999999;20260101;6241461.02;;;1241010013;1241010001;06030401;06030401;SEDE APEX - ELEVADORES
2145420;999999;20260101;2080487.02;;;1241010014;1241010001;06030401;06030401;SEDE APEX - SISTEMAS DE SEGURANÇA
2145421;999999;20260101;29126818.07;;;1241010015;1241010001;06030401;06030401;SEDE APEX - REVESTIMENTO/ACABAMENTOS
2145422;999999;20260101;12482922.03;;;1241010016;1241010001;06030401;06030401;SEDE APEX - COBERTURAS/FACHADAS
2067839;008850;20260102;12158.47;SE5240581;;1124030002;;06030602;;PGTO S/ TITULO 26921-AGÊNCIA BRASILEIRA DE PROMOÇÃO DE EXPORTAÇÃO E INVESTIMENTOS-LÍQUIDO DE FERIAS - COMPETÊNCIA: JAN/2026 PERÍODOS: 4 - RAPHAEL SODRE CITTADINO
2067840;008850;20260102;12158.47;SE5240581;;;1112050002;;06030602;PGTO S/ TITULO 26921-AGÊNCIA BRASILEIRA DE PROMOÇÃO DE EXPORTAÇÃO E INVESTIMENTOS-LÍQUIDO DE FERIAS - COMPETÊNCIA: JAN/2026 PERÍODOS: 4 - RAPHAEL SODRE CITTADINO
