reason_signature;candidatos;selecionados;taxa_selecao
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;69274;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|valor;64528;273;0.42
doc_hist_1|ent05_conta|texto|tokens|valor;18603;0;0.0
ent05_conta|texto|tokens|valor;15857;0;0.0
competencia|doc_hist_1|ent05_conta|texto|tokens|valor;9383;1;0.01
competencia|ent05_conta|texto|tokens|valor;8011;0;0.0
cc|competencia|texto|tokens|valor;5890;170;2.89
cc|ent05_conta|tokens|valor;5593;0;0.0
cc|competencia|tokens|valor;5488;0;0.0
competencia|ent05_conta|valor;4753;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|valor;4209;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|texto|tokens|valor;3269;4;0.12
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;2313;1445;62.47
cc|ent05_conta|valor;2241;0;0.0
cc|ent05_conta|texto|tokens|valor;2223;0;0.0
akd_xdoc_ct2_recno|cc|competencia|competencia_conta_cc|doc_hist_1|ent05_conta|texto|tokens|valor;1804;1804;100.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|insight_classe_valor_competencia|valor;1772;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|insight_classe_valor_competencia|valor;1757;0;0.0
cc|doc_hist_1|ent05_conta|texto|tokens|valor;1426;0;0.0
cc|competencia|competencia_conta_cc|ent05_conta|texto|tokens|valor;1407;5;0.36
cc|chave_estruturada|doc_extra|ent05_conta|tokens|valor;1157;0;0.0
cc|chave_estruturada|doc_extra|tokens|valor;1124;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;1092;558;51.1
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;1013;19;1.88
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;1010;336;33.27
cc|competencia|competencia_conta_cc|ent05_conta|tokens|valor;921;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor;906;4;0.44
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;840;212;25.24
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor;822;0;0.0
cc|chave_estruturada|doc_extra|ent05_conta|texto|tokens|valor;759;0;0.0
cc|chave_estruturada|doc_extra|texto|tokens|valor;758;0;0.0
cc|classe_valor|conta_cc_classe|ent05_conta|valor;644;5;0.78
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;635;589;92.76
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;622;276;44.37
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor;622;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor;602;0;0.0
cc|competencia|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;580;29;5.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_data_exata|proc_hist_data_valor_exato|texto|valor;574;0;0.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|texto|tokens|valor;537;473;88.08
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;530;2;0.38
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|ent05_conta|texto|tokens|valor;500;0;0.0
cc|chave_estruturada|competencia|doc_extra|texto|tokens|valor;497;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|texto|tokens|valor;489;17;3.48
cc|competencia|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;458;122;26.64
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|valor;455;455;100.0
cc|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;444;0;0.0
cc|classe_valor|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;421;119;28.27
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|valor;390;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;372;9;2.42
texto|tokens|valor;372;1;0.27
competencia|doc_extra|doc_hist_1|ent05_conta|valor|xdoc|xdoc_at01cr;367;354;96.46
competencia|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;367;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_2|insight_classe_valor_competencia|tokens|valor;337;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;327;109;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;315;105;33.33
competencia|texto|tokens|valor;314;5;1.59
cc|classe_valor|texto|valor;291;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;260;55;21.15
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|ent05_conta|tokens|valor;253;0;0.0
cc|chave_estruturada|competencia|doc_extra|tokens|valor;244;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|texto|valor;243;0;0.0
akd_xdoc_ct2_recno|cc|competencia|competencia_conta_cc|ent05_conta|texto|tokens|valor;239;239;100.0
cc|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;218;103;47.25
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;213;8;3.76
cc|texto|tokens|valor;208;0;0.0
competencia|ent05_conta|tokens|valor;185;0;0.0
