base;campo;preenchidos;fill_rate;distintos;exemplos
AKD;AKD_CHAVE;20341;100.0;13444;SE5011001VLRRF122025   001RFB202601130000030101
AKD;AKD_LOTE;20341;100.0;4955;0000205512
AKD;AKD_ID;20341;100.0;2742;0001 | 0002 | 0003
AKD;AKD_CLASSE;20341;100.0;1706;000001
AKD;AKD_DATA;20341;100.0;82;20260113
AKD;AKD_CODPLA;20341;100.0;5;RECEITAS.2026
AKD;AKD_TPSALD;20341;100.0;4;AR | RB
AKD;AKD_STATUS;20341;100.0;3;1
AKD;AKD_TIPO;20341;100.0;2;1 | 2
AKD;AKD_CLVLR;20338;99.99;433;00000000000000003167
AKD;AKD_CC;20338;99.99;80;06030501
AKD;AKD_UNIORC;20332;99.96;13;011001
AKD;AKD_ITEM;20302;99.81;3;01
AKD;AKD_ENT05;20289;99.74;151;4111010001 | 4111010099
AKD;AKD_XDOC;20164;99.13;13334;SE5240379
AKD;AKD_XCLSDE;9486;46.63;4;1
AKD;AKD_OPER;7502;36.88;1631;0000022121
AKD;AKD_XNUMAP;4711;23.16;1697;0000321298 | 0000321303
AKD;AKD_FILIAL;0;0.0;0;
AKD;AKD_IDREF;0;0.0;0;
AKD;AKD_ITCTB;0;0.0;0;
AKD;AKD_ENT06;0;0.0;0;
AKD;AKD_ENT07;0;0.0;0;
