base;campo;preenchidos;fill_rate;distintos;exemplos
CT2;CT2_LINHA;27945;100.0;2186;001 | 002 | 003
CT2;CT2_DOC;27945;100.0;202;000001
CT2;CT2_DATA;27945;100.0;83;20260131
CT2;CT2_FILIAL;27945;100.0;14;011000
CT2;CT2_LOTE;27945;100.0;13;000991
CT2;CT2_ROTINA;27945;100.0;12;CTBA102
CT2;CT2_DC;27945;100.0;2;2
CT2;CT2_SBLOTE;27945;100.0;1;001
CT2;CT2_MOEDLC;27945;100.0;1;01
CT2;CT2_TPSALD;27943;99.99;2;1
CT2;CT2_ORIGEM;27902;99.85;53;APCTB04
CT2;CT2_XDOCUM;20889;74.75;9399;831428 | 831430 | 831461
CT2;CT2_CREDIT;15416;55.17;163;2113010001 | 2113030001 | 2115010008
CT2;CT2_AT01CR;14557;52.09;6705;SE5240581 | SF124243
CT2;CT2_XDOC;14553;52.08;6703;SE5240581 | SE5241128
CT2;CT2_DEBITO;12529;44.83;238;2117010001 | 3121010001 | 3121030001
CT2;CT2_CCC;11772;42.13;80;06030603
CT2;CT2_CCD;11711;41.91;82;06030603
CT2;CT2_AT04DB;7544;27.0;1678;0000322081 | 0000322276
CT2;CT2_CLVLCR;6591;23.59;309;00000000000000000450 | 00000000000000007982 | 00000000000000008115
CT2;CT2_CLVLDB;5914;21.16;309;00000000000000000450 | 00000000000000003168 | 00000000000000007982
CT2;CT2_XNUMCT;1782;6.38;464;02012026 | 05012026
CT2;CT2_ITEMD;1634;5.85;470;F00000101 | F01503801
CT2;CT2_ITEMC;1117;4.0;361;F00000101 | F01503801
CT2;CT2_DCD;0;0.0;0;
CT2;CT2_DCC;0;0.0;0;
CT2;CT2_HP;0;0.0;0;
CT2;CT2_ATIVDE;0;0.0;0;
CT2;CT2_ATIVCR;0;0.0;0;
CT2;CT2_CODCLI;0;0.0;0;
CT2;CT2_CODFOR;0;0.0;0;
