rank;akd_key;ct2_key;kind;overlap_values;matched_akd_rows;matched_ct2_rows;akd_filled;ct2_filled;akd_distinct;ct2_distinct;akd_coverage_pct;ct2_coverage_pct;overlap_distinct_pct;one_to_one_values;one_to_one_pct;specificity_pct;max_pair_rows;ambiguity_penalty;score;interpretation;sample_values
1;AKD_XNUMAP+AKD_ENT05;CT2_AT04DB+CT2_DEBITO;chave_composta;115;236;117;1086;126;507;124;21.7311;92.8571;92.7419;53;46.087;46.6851;4;3.3993;55.5602;forte para bloqueio seletivo;0000321269||3111080001, 0000321282||3111080001, 0000321283||3111080001, 0000321284||3111080001, 0000321285||3111080001, 0000321286||3111080001, 0000321287||3111080001, 0000321289||3111080001, 0000321290||3111080001, 0000321291||3111080001
2;AKD_XNUMAP+AKD_ENT05;CT2_XDOCUM+CT2_DEBITO;chave_composta;115;236;117;1086;126;507;124;21.7311;92.8571;92.7419;53;46.087;46.6851;4;3.3993;55.5602;forte para bloqueio seletivo;0000321269||3111080001, 0000321282||3111080001, 0000321283||3111080001, 0000321284||3111080001, 0000321285||3111080001, 0000321286||3111080001, 0000321287||3111080001, 0000321289||3111080001, 0000321290||3111080001, 0000321291||3111080001
3;AKD_XNUMAP+AKD_CLVLR;CT2_AT04DB+CT2_CLVLDB;chave_composta;63;198;66;1077;75;458;72;18.3844;88.0;87.5;40;63.4921;42.5255;10;11.3637;47.55;forte para bloqueio seletivo;0000321269||00000000000000010071, 0000321331||00000000000000005243, 0000321336||00000000000000005123, 0000321337||00000000000000009778, 0000321338||00000000000000007838, 0000321339||00000000000000007847, 0000321340||00000000000000008021, 0000321341||00000000000000008021, 0000321342||00000000000000008021, 0000321343||00000000000000008021
4;AKD_XNUMAP+AKD_CLVLR;CT2_XDOCUM+CT2_CLVLDB;chave_composta;63;198;66;1077;75;458;72;18.3844;88.0;87.5;40;63.4921;42.5255;10;11.3637;47.55;forte para bloqueio seletivo;0000321269||00000000000000010071, 0000321331||00000000000000005243, 0000321336||00000000000000005123, 0000321337||00000000000000009778, 0000321338||00000000000000007838, 0000321339||00000000000000007847, 0000321340||00000000000000008021, 0000321341||00000000000000008021, 0000321342||00000000000000008021, 0000321343||00000000000000008021
5;AKD_XNUMAP+DER_VALOR;CT2_AT04DB+DER_VALOR;chave_composta;120;248;230;1086;272;550;160;22.8361;84.5588;75.0;19;15.8333;50.6446;12;7.5315;41.9378;forte para bloqueio seletivo;0000321051||12000, 0000321269||141864568, 0000321282||54935352, 0000321283||69389105, 0000321284||143490034, 0000321285||152447289, 0000321286||65114051, 0000321287||67353365, 0000321289||14709512, 0000321290||13808997
6;AKD_XNUMAP+DER_VALOR;CT2_XDOCUM+DER_VALOR;chave_composta;120;248;230;1086;272;550;160;22.8361;84.5588;75.0;19;15.8333;50.6446;12;7.5315;41.9378;forte para bloqueio seletivo;0000321051||12000, 0000321269||141864568, 0000321282||54935352, 0000321283||69389105, 0000321284||143490034, 0000321285||152447289, 0000321286||65114051, 0000321287||67353365, 0000321289||14709512, 0000321290||13808997
7;AKD_CLVLR+DER_VALOR;CT2_CLVLDB+DER_VALOR;chave_composta;98;164;104;2116;140;649;134;7.7505;74.2857;73.1343;69;70.4082;30.6711;12;13.4328;36.7825;forte para bloqueio seletivo;00000000000000002601||365615, 00000000000000002807||9305100, 00000000000000002808||358112, 00000000000000002809||1522402, 00000000000000002810||2936218, 00000000000000002811||8134940, 00000000000000002877||2840958, 00000000000000003102||2482908, 00000000000000003103||9345679, 00000000000000003104||8601529
8;AKD_XNUMAP+AKD_ITEM;CT2_AT04DB+CT2_MOEDLC;chave_composta;116;290;270;1086;272;472;117;26.7035;99.2647;99.1453;0;0.0;43.0147;36;19.2858;32.3429;forte para bloqueio seletivo;0000321051||01, 0000321269||01, 0000321282||01, 0000321283||01, 0000321284||01, 0000321285||01, 0000321286||01, 0000321287||01, 0000321289||01, 0000321290||01
9;AKD_XNUMAP+AKD_ITEM;CT2_AT04DB+CT2_EMPORI;chave_composta;116;290;270;1086;272;472;117;26.7035;99.2647;99.1453;0;0.0;43.0147;36;19.2858;32.3429;forte para bloqueio seletivo;0000321051||01, 0000321269||01, 0000321282||01, 0000321283||01, 0000321284||01, 0000321285||01, 0000321286||01, 0000321287||01, 0000321289||01, 0000321290||01
10;AKD_XNUMAP+AKD_ITEM;CT2_XDOCUM+CT2_MOEDLC;chave_composta;116;290;270;1086;272;472;117;26.7035;99.2647;99.1453;0;0.0;43.0147;36;19.2858;32.3429;forte para bloqueio seletivo;0000321051||01, 0000321269||01, 0000321282||01, 0000321283||01, 0000321284||01, 0000321285||01, 0000321286||01, 0000321287||01, 0000321289||01, 0000321290||01
