rank;akd_key;ct2_key;kind;overlap_values;matched_akd_rows;matched_ct2_rows;akd_filled;ct2_filled;akd_distinct;ct2_distinct;akd_coverage_pct;ct2_coverage_pct;overlap_distinct_pct;one_to_one_values;one_to_one_pct;specificity_pct;max_pair_rows;ambiguity_penalty;score;interpretation;sample_values
1;AKD_XNUMAP;CT2_AT04DB;coluna_simples;116;358;270;1086;272;445;117;32.965;99.2647;99.1453;0;0.0;40.9761;60;28.6623;23.294;forte para bloqueio seletivo;0000321051, 0000321269, 0000321282, 0000321283, 0000321284, 0000321285, 0000321286, 0000321287, 0000321289, 0000321290
2;AKD_XNUMAP;CT2_XDOCUM;coluna_simples;116;358;270;1086;272;445;117;32.965;99.2647;99.1453;0;0.0;40.9761;60;28.6623;23.294;forte para bloqueio seletivo;0000321051, 0000321269, 0000321282, 0000321283, 0000321284, 0000321285, 0000321286, 0000321287, 0000321289, 0000321290
3;AKD_DATA;CT2_DATA;coluna_simples;32;2125;650;2125;650;32;32;100.0;100.0;100.0;0;0.0;1.5059;48884;30.0;20.4518;boa ancora de bloqueio;20260102, 20260105, 20260106, 20260107, 20260108, 20260109, 20260110, 20260112, 20260113, 20260114
4;AKD_DATA;CT2_DTCV3;coluna_simples;32;2125;650;2125;650;32;32;100.0;100.0;100.0;0;0.0;1.5059;48884;30.0;20.4518;boa ancora de bloqueio;20260102, 20260105, 20260106, 20260107, 20260108, 20260109, 20260110, 20260112, 20260113, 20260114
5;AKD_DATA;DER_DATA;coluna_simples;32;2125;650;2125;650;32;32;100.0;100.0;100.0;0;0.0;1.5059;48884;30.0;20.4518;boa ancora de bloqueio;20260102, 20260105, 20260106, 20260107, 20260108, 20260109, 20260110, 20260112, 20260113, 20260114
6;DER_DATA;CT2_DATA;coluna_simples;32;2125;650;2125;650;32;32;100.0;100.0;100.0;0;0.0;1.5059;48884;30.0;20.4518;boa ancora de bloqueio;20260102, 20260105, 20260106, 20260107, 20260108, 20260109, 20260110, 20260112, 20260113, 20260114
7;DER_DATA;CT2_DTCV3;coluna_simples;32;2125;650;2125;650;32;32;100.0;100.0;100.0;0;0.0;1.5059;48884;30.0;20.4518;boa ancora de bloqueio;20260102, 20260105, 20260106, 20260107, 20260108, 20260109, 20260110, 20260112, 20260113, 20260114
8;DER_DATA;DER_DATA;coluna_simples;32;2125;650;2125;650;32;32;100.0;100.0;100.0;0;0.0;1.5059;48884;30.0;20.4518;boa ancora de bloqueio;20260102, 20260105, 20260106, 20260107, 20260108, 20260109, 20260110, 20260112, 20260113, 20260114
9;DER_MES;DER_MES;coluna_simples;3;2125;650;2125;650;3;3;100.0;100.0;100.0;0;0.0;0.1412;1218224;30.0;20.0424;boa ancora de bloqueio;202601, 202602, 202603
10;AKD_FILORI;CT2_FILIAL;coluna_simples;1;2104;650;2104;650;1;1;100.0;100.0;100.0;0;0.0;0.0475;1367600;30.0;20.0142;boa ancora de bloqueio;011001
11;AKD_FILORI;CT2_FILORI;coluna_simples;1;2104;650;2104;650;1;1;100.0;100.0;100.0;0;0.0;0.0475;1367600;30.0;20.0142;boa ancora de bloqueio;011001
12;AKD_ITEM;CT2_MOEDLC;coluna_simples;1;2057;650;2125;650;2;1;96.8;100.0;100.0;0;0.0;0.0941;1337050;30.0;19.5482;boa ancora de bloqueio;01
13;AKD_ITEM;CT2_EMPORI;coluna_simples;1;2057;650;2125;650;2;1;96.8;100.0;100.0;0;0.0;0.0941;1337050;30.0;19.5482;boa ancora de bloqueio;01
14;AKD_UNIORC;CT2_FILIAL;coluna_simples;1;2044;650;2116;650;8;1;96.5974;100.0;100.0;0;0.0;0.1538;1328600;30.0;19.5358;boa ancora de bloqueio;011001
15;AKD_UNIORC;CT2_FILORI;coluna_simples;1;2044;650;2116;650;8;1;96.5974;100.0;100.0;0;0.0;0.1538;1328600;30.0;19.5358;boa ancora de bloqueio;011001
16;AKD_CC;CT2_CCD;coluna_simples;28;1717;233;2116;237;54;31;81.1437;98.3122;90.3226;0;0.0;2.552;12768;30.0;15.7485;boa ancora de bloqueio;06010401, 06010701, 06010801, 06010902, 06010903, 06010904, 06010905, 06010907, 06010908, 06011104
17;AKD_CC;CT2_CCC;coluna_simples;28;1717;228;2116;232;54;31;81.1437;98.2759;90.3226;0;0.0;2.552;7980;30.0;15.7431;boa ancora de bloqueio;06010401, 06010701, 06010801, 06010902, 06010903, 06010904, 06010905, 06010907, 06010908, 06011104
18;AKD_CLVLR;CT2_CLVLDB;coluna_simples;52;590;127;2116;140;173;55;27.8828;90.7143;94.5455;5;9.6154;8.1758;3668;30.0;11.0745;boa ancora de bloqueio;00000000000000002601, 00000000000000002807, 00000000000000002808, 00000000000000002809, 00000000000000002810, 00000000000000002811, 00000000000000002877, 00000000000000003102, 00000000000000003103, 00000000000000003104
19;AKD_USERGI;CT2_USERGI;coluna_simples;44;838;606;2125;650;49;45;39.4353;93.2308;97.7778;0;0.0;2.3059;7442;30.0;10.1472;boa ancora de bloqueio;005040, 0050402, 0050404, 0050408, 0050409, 0170703, 0430402, 0430409, 049070, 0490702
20;AKD_USERGI;CT2_USERGA;coluna_simples;43;830;465;2125;509;49;44;39.0588;91.3556;97.7273;0;0.0;2.3059;7442;30.0;9.7994;boa ancora de bloqueio;005040, 0050402, 0050404, 0050408, 0050409, 0170703, 0430402, 0430409, 049070, 0490702
21;AKD_XDOC;CT2_AT01CR;coluna_simples;67;154;135;2125;650;776;348;7.2471;20.7692;19.2529;0;0.0;36.5176;9;9.3426;9.6657;indicio util, mas com muita ambiguidade;SE2513078, SE2513079, SE2513080, SE2514413, SE2514414, SE2514415, SE2514416, SE2514417, SE2514459, SE2514476
22;AKD_XDOC;CT2_XDOC;coluna_simples;67;154;135;2125;650;776;348;7.2471;20.7692;19.2529;0;0.0;36.5176;9;9.3426;9.6657;indicio util, mas com muita ambiguidade;SE2513078, SE2513079, SE2513080, SE2514413, SE2514414, SE2514415, SE2514416, SE2514417, SE2514459, SE2514476
23;AKD_USERGA;CT2_USERGI;coluna_simples;42;816;600;2116;650;52;45;38.5633;92.3077;93.3333;0;0.0;2.4575;7442;30.0;9.0346;boa ancora de bloqueio;005040, 0050402, 0050404, 0050408, 0050409, 0170703, 0430402, 0430409, 049070, 0490702
24;AKD_USERGA;CT2_USERGA;coluna_simples;41;808;459;2116;509;52;44;38.1853;90.1768;93.1818;0;0.0;2.4575;7442;30.0;8.6279;boa ancora de bloqueio;005040, 0050402, 0050404, 0050408, 0050409, 0170703, 0430402, 0430409, 049070, 0490702
25;AKD_SEQ;CT2_MOEDLC;coluna_simples;1;485;650;2125;650;23;1;22.8235;100.0;100.0;0;0.0;0.1538;315250;30.0;8.4697;boa ancora de bloqueio;01
26;AKD_SEQ;CT2_EMPORI;coluna_simples;1;485;650;2125;650;23;1;22.8235;100.0;100.0;0;0.0;0.1538;315250;30.0;8.4697;boa ancora de bloqueio;01
27;DER_HIST_DOCS;CT2_AT04DB;coluna_simples;85;265;207;5235;272;1833;117;5.0621;76.1029;72.6496;0;0.0;35.0143;60;30.0;7.209;forte para bloqueio seletivo;0000321269, 0000321282, 0000321283, 0000321284, 0000321285, 0000321286, 0000321287, 0000321289, 0000321290, 0000321291
28;DER_HIST_DOCS;CT2_XDOCUM;coluna_simples;85;265;207;5235;272;1833;117;5.0621;76.1029;72.6496;0;0.0;35.0143;60;30.0;7.209;forte para bloqueio seletivo;0000321269, 0000321282, 0000321283, 0000321284, 0000321285, 0000321286, 0000321287, 0000321289, 0000321290, 0000321291
29;DER_HIST_DOCS;CT2_XNUMCT;coluna_simples;17;77;148;5235;154;1833;18;1.4709;96.1039;94.4444;0;0.0;11.6883;756;30.0;7.0316;boa ancora de bloqueio;000001033, 000001034, 000001035, 000001036, 000001038, 000001039, 000001040, 000001041, 02012026, 05012026
30;AKD_VALOR1;DER_VALOR;coluna_simples;94;187;220;2125;650;598;280;8.8;33.8462;33.5714;13;13.8298;28.1412;24;17.6904;6.6291;indicio util, mas com muita ambiguidade;001, 103313, 1040644, 11281, 12000, 122769, 12479901451, 126126, 1283767, 13808997
31;AKD_CLVLR;CT2_CLVLCR;coluna_simples;58;638;153;2116;190;173;78;30.1512;80.5263;74.359;4;6.8966;8.1758;7336;30.0;5.3055;boa ancora de bloqueio;00000000000000002601, 00000000000000002807, 00000000000000002808, 00000000000000002809, 00000000000000002810, 00000000000000002811, 00000000000000002877, 00000000000000003102, 00000000000000003103, 00000000000000003104
32;AKD_VALOR1;CT2_VALOR;coluna_simples;158;391;441;2125;650;598;275;18.4;67.8462;57.4545;18;11.3924;28.1412;288;30.0;5.1487;forte para bloqueio seletivo;001, 10000, 103313, 1040644, 10469, 10621, 1075, 1088, 11139, 11281
33;AKD_VALOR1;CT2_VLR01;coluna_simples;158;391;441;2125;650;598;275;18.4;67.8462;57.4545;18;11.3924;28.1412;288;30.0;5.1487;forte para bloqueio seletivo;001, 10000, 103313, 1040644, 10469, 10621, 1075, 1088, 11139, 11281
34;AKD_VALOR1;CT2_SBLOTE;coluna_simples;1;3;650;2125;650;598;1;0.1412;100.0;100.0;0;0.0;0.1538;1950;30.0;5.0673;boa ancora de bloqueio;001
35;AKD_VALOR1;CT2_SEQHIS;coluna_simples;1;3;650;2125;650;598;1;0.1412;100.0;100.0;0;0.0;0.1538;1950;30.0;5.0673;boa ancora de bloqueio;001
36;DER_VALOR;CT2_SBLOTE;coluna_simples;1;3;650;2125;650;602;1;0.1412;100.0;100.0;0;0.0;0.1538;1950;30.0;5.0673;boa ancora de bloqueio;001
37;DER_VALOR;CT2_SEQHIS;coluna_simples;1;3;650;2125;650;602;1;0.1412;100.0;100.0;0;0.0;0.1538;1950;30.0;5.0673;boa ancora de bloqueio;001
38;DER_VALOR;DER_VALOR;coluna_simples;158;389;425;2125;650;602;280;18.3059;65.3846;56.4286;18;11.3924;28.3294;288;30.0;4.6166;forte para bloqueio seletivo;001, 1000000, 103313, 1040644, 104690, 106210, 107500, 108800, 1113900, 11281
39;DER_VALOR;CT2_VALOR;coluna_simples;102;241;251;2125;650;602;275;11.3412;38.6154;37.0909;13;12.7451;28.3294;36;21.9513;4.0082;indicio util, mas com muita ambiguidade;001, 1000000, 103313, 1040644, 110000, 11281, 120000, 122769, 12479901451, 126126
40;DER_VALOR;CT2_VLR01;coluna_simples;102;241;251;2125;650;602;275;11.3412;38.6154;37.0909;13;12.7451;28.3294;36;21.9513;4.0082;indicio util, mas com muita ambiguidade;001, 1000000, 103313, 1040644, 110000, 11281, 120000, 122769, 12479901451, 126126
41;AKD_ENT05;CT2_DEBITO;coluna_simples;24;1060;170;2125;316;46;47;49.8824;53.7975;52.1739;3;12.5;2.1647;7087;30.0;-0.8638;boa ancora de bloqueio;3111020001, 3111020002, 3111020003, 3111080001, 3111080010, 3111080011, 3112010001, 3112010005, 3112010007, 3121030002
42;DER_HIST_DOCS;DER_HIST_DOCS;coluna_simples;291;987;1500;5235;2445;1833;601;18.8539;61.3497;48.4193;0;0.0;24.5808;1512;30.0;-0.9114;boa ancora de bloqueio;000000027, 000000087, 000000224, 000000225, 000000320, 000000327, 000000328, 000000648, 000000685, 000000990
43;AKD_PROCES;CT2_DOC;coluna_simples;6;586;205;2125;650;11;67;27.5765;31.5385;54.5455;0;0.0;0.5176;11136;30.0;-10.0684;sinal complementar;000001, 000002, 000004, 000005, 000006, 000054
44;DER_CHAVE_TOKENS;DER_CHAVE_TOKENS;coluna_simples;209;833;982;9516;3141;2203;903;8.7537;31.2639;23.1451;0;0.0;23.1505;10914;30.0;-12.4232;indicio util, mas com muita ambiguidade;000000810, 000001033001, 000001486001, 000001487001, 000001488001, 000001489001, 000001490001, 000001491001, 000001492001, 000001493001
45;DER_CHAVE_TOKENS;CT2_XNUMCT;coluna_simples;9;51;32;9516;154;2203;18;0.5359;20.7792;50.0;0;0.0;11.6883;336;30.0;-13.2962;sinal complementar;02012026, 05012026, 06012026, 07012026, 09012026, 12012026, 13012026, 15012026, 16012026
