side;column;rows;filled;distinct;duplicate_values;max_frequency;fill_rate;uniqueness_rate;example_values
AKD;AKD_FILIAL;2125;0;0;0;0;0.0;0.0;
AKD;AKD_STATUS;2125;0;0;0;0;0.0;0.0;
AKD;AKD_LOTE;2125;2125;805;653;7;100.0;37.8824;0000206136, 0000206108, 0000206135, 0000205429, 0000205502
AKD;AKD_ID;2125;2125;9;8;693;100.0;0.4235;0002, 0001, 0003, 0007, 0004
AKD;AKD_DATA;2125;2125;32;32;1111;100.0;1.5059;20260105, 20260102, 20260106, 20260107, 20260108
AKD;AKD_CO;2125;2116;9;9;952;99.5765;0.4253;112, 2212, 2111, 2131, 2121
AKD;AKD_CLASSE;2125;2125;425;371;884;100.0;20.0;000001, 024428, 023999, 023983, 024169
AKD;AKD_OPER;2125;1331;408;366;54;62.6353;30.6536;0000022553, 0000022131, 0000022116, 0000022293, 0000022437
AKD;AKD_TIPO;2125;0;0;0;0;0.0;0.0;
AKD;AKD_TPSALD;2125;2125;4;4;878;100.0;0.1882;RB, LQ, PG, AR
AKD;AKD_HIST;2125;2125;885;643;144;100.0;41.6471;BAIXADOCONTASARECEBER, PAGAMENTODETITULOMANUALTARIFABANCARIA7364, INCLUSAODECONTASARECEBERMANUAL, RETORNOVALORADTADIANTAMENTOPARAVIAGEMINTERNACIONALNR, RETORNOVALORADTADIANTAMENTOPARAVIAGEMNACIONALNR000
AKD;AKD_IDREF;2125;0;0;0;0;0.0;0.0;
AKD;AKD_PROCES;2125;2125;11;10;720;100.0;0.5176;000004, 000005, 000001, 000054, 900010
AKD;AKD_CHAVE;2125;2125;776;656;7;100.0;36.5176;SE5011001VLRJF05012026ITARDF202601050154180101, SE5011001VLTFB02012026B1TRF202601020150380101, SE1011001RJF05012026ITARDF, SE5011001VLADT000023155001PA202601050072590101, SE5011001VLADT000023612001PA202601050081810101
AKD;AKD_ITEM;2125;2125;2;2;2057;100.0;0.0941;01, 02
AKD;AKD_SEQ;2125;2125;23;21;523;100.0;1.0824;02, 01, 03, 04, 05
AKD;AKD_USER;2125;2125;11;11;931;100.0;0.5176;000741, 000054, 000827, 000612, 000434
AKD;AKD_COSUP;2125;2116;5;5;952;99.5765;0.2363;11, 221, 211, 213, 212
AKD;AKD_VALOR1;2125;2125;598;476;92;100.0;28.1412;542, 61, 244401, 658, 11281
AKD;AKD_VALOR2;2125;0;0;0;0;0.0;0.0;
AKD;AKD_VALOR3;2125;0;0;0;0;0.0;0.0;
AKD;AKD_VALOR4;2125;0;0;0;0;0.0;0.0;
AKD;AKD_VALOR5;2125;0;0;0;0;0.0;0.0;
AKD;AKD_CODPLA;2125;2125;6;6;733;100.0;0.2824;RECEITAS2026, DESPESAS2026, DESPESAS2025, RECEITAS2020, DESPESAS2021
AKD;AKD_VERSAO;2125;2116;3;3;1451;99.5765;0.1418;0002, 0006, 0004
AKD;AKD_CC;2125;2116;54;53;798;99.5765;2.552;06030501, 06030503, 06020201, 06020802, 06030903
AKD;AKD_ITCTB;2125;0;0;0;0;0.0;0.0;
AKD;AKD_CLVLR;2125;2116;173;166;695;99.5765;8.1758;00000000000000003168, 00000000000000007851, 00000000000000003013, 00000000000000002629, 00000000000000007888
AKD;AKD_LCTBLQ;2125;0;0;0;0;0.0;0.0;
AKD;AKD_UNIORC;2125;2116;8;8;2044;99.5765;0.3781;011001, 011018, 011007, 011004, 011011
AKD;AKD_FILORI;2125;2104;1;1;2104;99.0118;0.0475;011001
AKD;AKD_ENT05;2125;2125;46;42;373;100.0;2.1647;4141060001, 3141010004, 1124030005, 3123020001, 3131010012
AKD;AKD_ENT06;2125;0;0;0;0;0.0;0.0;
AKD;AKD_ENT07;2125;0;0;0;0;0.0;0.0;
AKD;D_E_L_E_T_;2125;0;0;0;0;0.0;0.0;
AKD;R_E_C_N_O_;2125;2125;2125;0;1;100.0;100.0;2405168, 2405069, 2405070, 2405166, 2405167
AKD;R_E_C_D_E_L_;2125;0;0;0;0;0.0;0.0;
