akd_recno;ct2_recno;confidence;score;akd_lote;ct2_lote;reasons;text_similarity;token_overlap;akd_xdoc;ct2_xdoc;akd_xnumap;ct2_xdocum;akd_data;ct2_data;ct2_hist;akd_valor;ct2_valor;akd_debito;akd_credito;ct2_debito;ct2_credito;akd_conta_referencia;ct2_centro_debito;ct2_centro_credito;akd_historico_base;ct2_historico
2396360;2096197;muito_forte;321;0000204894;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:276608960|doc_extra_2:276608960|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_070;0.72;9;SE5239629;SE5239629;326140AP;326140AP;20260106;20260106;PGTO S/ TITULO 276608960-FEDERACAO DAS INDUSTRIAS DO ESTADO DE MI-Desembolso convenio: PEIEX MINAS GERAIS 2024-2027 AP: 326140AP;155735.61;155735.61;;;3111020002;;3111020002;06020902;;276608960-DESEMBOLSO CONVENIO: PEIEX MINAS GERAIS 2024-2027 AP: 326140AP;PGTO S/ TITULO 276608960-FEDERACAO DAS INDUSTRIAS DO ESTADO DE MI-DESEMBOLSO CONVENIO: PEIEX MINAS GERAIS 2024-2027 AP: 326140AP
2435213;2126089;muito_forte;321;0000213225;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001854|doc_extra_2:011000101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_070;0.72;9;SE5246529;SE5246529;329290AP;329290AP;20260310;20260310;PGTO S/ TITULO 000001854-FEDERACAO DAS INDUSTRIAS DO ESTADO DE MI-Desembolso convenio: PEIEX MINAS GERAIS 2024-2027 AP: 329290AP;4076.59;4076.59;;;3111020002;;3111020002;06020902;;000001854-DESEMBOLSO CONVENIO: PEIEX MINAS GERAIS 2024-2027 AP: 329290AP;PGTO S/ TITULO 000001854-FEDERACAO DAS INDUSTRIAS DO ESTADO DE MI-DESEMBOLSO CONVENIO: PEIEX MINAS GERAIS 2024-2027 AP: 329290AP
2432812;2112799;muito_forte;321;0000212498;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001853|doc_extra_2:SE5245990|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_070;0.7172;9;SE5245990;SE5245990;329335AP;329335AP;20260305;20260305;PGTO S/ TITULO 000001853-FAPEG - FUND DE AMPARO A PESQUISA DO EST-Desembolso convenio: PEIEX - GOIÂNIA - 2023-2025 AP: 329335AP;147133.31;147133.31;;;3111020002;;3111020002;06020903;;000001853-DESEMBOLSO CONVENIO: PEIEX - GOIÂNIA - 2023-2025 AP: 329335AP;PGTO S/ TITULO 000001853-FAPEG - FUND DE AMPARO A PESQUISA DO EST-DESEMBOLSO CONVENIO: PEIEX - GOIÂNIA - 2023-2025 AP: 329335AP
2425697;2112578;muito_forte;321;0000212290;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:093180101|doc_extra_2:000001755|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_070;0.7113;9;SE5245837;SE5245837;328428AP;328428AP;20260303;20260303;PGTO S/ TITULO 000001755-ABVCAP - ASSOC BRAS PRIVATE EQUITY VENTU-Desembolso convenio: CONVÊNIO ABVCAP 2024-2026 AP: 328428AP;425199.55;425199.55;;;3111020001;;3111020001;06020804;;000001755-DESEMBOLSO CONVENIO: CONVÊNIO ABVCAP 2024-2026 AP: 328428AP;PGTO S/ TITULO 000001755-ABVCAP - ASSOC BRAS PRIVATE EQUITY VENTU-DESEMBOLSO CONVENIO: CONVÊNIO ABVCAP 2024-2026 AP: 328428AP
2397301;2096262;muito_forte;321;0000205176;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:276608949|doc_extra_2:ADOS20242026|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_070;0.7027;8;SE5239733;SE5239733;325844AP;325844AP;20260108;20260108;PGTO S/ TITULO 276608949-ABICALÇADOS - ASSOCIAÇÃO BRASILEIRA DAS-Desembolso convenio: ABICALÇADOS-2024-2026 AP: 325844AP;1668856.61;1668856.61;;;3111020001;;3111020001;06020603;;276608949-DESEMBOLSO CONVENIO: ABICALÇADOS-2024-2026 AP: 325844AP;PGTO S/ TITULO 276608949-ABICALÇADOS - ASSOCIAÇÃO BRASILEIRA DAS-DESEMBOLSO CONVENIO: ABICALÇADOS-2024-2026 AP: 325844AP
2414165;2109909;muito_forte;321;0000208588;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:000001570|doc_extra_2:ADOS20242026|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_070;0.7027;8;SE5242916;SE5242916;327185AP;327185AP;20260202;20260202;PGTO S/ TITULO 000001570-ABICALÇADOS - ASSOCIAÇÃO BRASILEIRA DAS-Desembolso convenio: ABICALÇADOS-2024-2026 AP: 327185AP;221113.58;221113.58;;;3111020001;;3111020001;06020603;;000001570-DESEMBOLSO CONVENIO: ABICALÇADOS-2024-2026 AP: 327185AP;PGTO S/ TITULO 000001570-ABICALÇADOS - ASSOCIAÇÃO BRASILEIRA DAS-DESEMBOLSO CONVENIO: ABICALÇADOS-2024-2026 AP: 327185AP
2414169;2109911;muito_forte;315;0000208589;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:813340101|doc_extra_2:000001571|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6207;10;SE5242917;SE5242917;327628AP;327628AP;20260202;20260202;PGTO S/ TITULO 000001571-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DE RORAIMA – SEBRAE RORAIMA-Desembolso convenio: PEIEX - BOA VISTA - 2023-2025 (CRIAR) AP: 327628AP;22657.24;22657.24;;;3111020002;;3111020002;06020903;;000001571-DESEMBOLSO CONVENIO: PEIEX - BOA VISTA - 2023-2025 (CRIAR) AP: 327628AP;PGTO S/ TITULO 000001571-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DE RORAIMA – SEBRAE RORAIMA-DESEMBOLSO CONVENIO: PEIEX - BOA VISTA - 2023-2025 (CRIAR) AP: 327628AP
2414205;2109929;muito_forte;315;0000208598;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:811970101|doc_extra_2:811970101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6802;9;SE5242926;SE5242926;327829AP;327829AP;20260202;20260202;PGTO S/ TITULO 000001581-SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DO ACRE-Desembolso convenio: PEIEX - SEBRAE/AC - RIO BRANCO - 2023-20 AP: 327829AP;22318.31;22318.31;;;3111020002;;3111020002;06020903;;000001581-DESEMBOLSO CONVENIO: PEIEX - SEBRAE/AC - RIO BRANCO - 2023-20 AP: 327829AP;PGTO S/ TITULO 000001581-SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DO ACRE-DESEMBOLSO CONVENIO: PEIEX - SEBRAE/AC - RIO BRANCO - 2023-20 AP: 327829AP
2424617;2112445;muito_forte;315;0000211900;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:811970101|doc_extra_2:000001745|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.6802;9;SE5245483;SE5245483;329001AP;329001AP;20260302;20260302;PGTO S/ TITULO 000001745-SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DO ACRE-Desembolso convenio: PEIEX - SEBRAE/AC - RIO BRANCO - 2023-20 AP: 329001AP;28920.98;28920.98;;;3111020002;;3111020002;06020903;;000001745-DESEMBOLSO CONVENIO: PEIEX - SEBRAE/AC - RIO BRANCO - 2023-20 AP: 329001AP;PGTO S/ TITULO 000001745-SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DO ACRE-DESEMBOLSO CONVENIO: PEIEX - SEBRAE/AC - RIO BRANCO - 2023-20 AP: 329001AP
2415757;2110197;muito_forte;315;0000208918;008850;valor|xdoc|xnumap_xdocum|doc9_chave_key:817390101|doc_extra_2:817390101|competencia|ent05_conta|cc|classe_valor|tokens_8+|texto_055;0.664;9;SE5243181;SE5243181;327905AP;327905AP;20260205;20260205;PGTO S/ TITULO 000001639-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SÃO PAULO  SEBRAE-SP-Desembolso convenio: PEIEX NÚCLEO GRANDE SÃO PAULO – LESTE E AP: 327905AP;265491.72;265491.72;;;3111020002;;3111020002;06020902;;000001639-DESEMBOLSO CONVENIO: PEIEX NÚCLEO GRANDE SÃO PAULO – LESTE E AP: 327905AP;PGTO S/ TITULO 000001639-SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SÃO PAULO SEBRAE-SP-DESEMBOLSO CONVENIO: PEIEX NÚCLEO GRANDE SÃO PAULO – LESTE E AP: 327905AP
