key;akd_rows;ct2_rows;akd_total;ct2_total;status
CNE2589473;1;2;10132.65;20265.30;ambiguo
CNE2589502;1;2;22604.81;45209.62;ambiguo
CNE2589525;1;2;8411.89;16823.78;ambiguo
CNE2589535;1;2;849.89;1699.78;ambiguo
CNE2589569;1;2;3126.74;6253.48;ambiguo
CNE2589583;1;2;19209.02;38418.04;ambiguo
CNE2589605;1;2;1667.12;3334.24;ambiguo
CNE2589623;1;2;332.58;665.16;ambiguo
CNE2589647;1;2;25347.03;50694.06;ambiguo
CNE2589649;1;2;4332.71;8665.42;ambiguo
CNE2589669;1;2;4362.62;8725.24;ambiguo
CNE2589671;1;2;14739.84;29479.68;ambiguo
CNE2589689;1;2;1331.65;2663.30;ambiguo
CNE2589723;1;2;2218.72;4437.44;ambiguo
CNE2589745;1;2;1264.20;2528.40;ambiguo
CNE2589767;1;2;4262.08;8524.16;ambiguo
CNE2589787;1;2;3643.28;7286.56;ambiguo
CNE2589789;1;2;5503.88;11007.76;ambiguo
CNE2589811;1;2;1240.63;2481.26;ambiguo
CNE2589825;1;2;1981.86;3963.72;ambiguo
CNE2589847;1;2;2854.87;5709.74;ambiguo
CNE2589869;1;2;3516.07;7032.14;ambiguo
CNE2589899;1;2;9037.60;18075.20;ambiguo
CNE2589911;1;2;8744.69;17489.38;ambiguo
CNE2589913;1;2;36941.28;73882.56;ambiguo
CNE2589943;1;2;509.66;1019.32;ambiguo
CNE2589957;1;2;2854.87;5709.74;ambiguo
CNE2589987;1;2;880.74;1761.48;ambiguo
CNE2590009;1;2;896.78;1793.56;ambiguo
CNE2590022;1;2;62419.72;124839.44;ambiguo
CNE2590053;1;2;15477.09;30954.18;ambiguo
CNE2590067;1;2;1474.84;2949.68;ambiguo
CNE2590088;1;2;36608.17;73216.34;ambiguo
CNE2590107;1;2;1007.37;2014.74;ambiguo
CNE2590133;1;2;2997.31;5994.62;ambiguo
CNE2590162;1;2;13184.20;26368.40;ambiguo
CNE2590173;1;2;2035.71;4071.42;ambiguo
CNE2590206;1;2;9319.60;18639.20;ambiguo
CNE2590218;1;2;15481.88;30963.76;ambiguo
CNE2590220;1;2;3649.86;7299.72;ambiguo
CNE2590251;1;2;5679.44;11358.88;ambiguo
CNE2590265;1;2;16726.53;33453.06;ambiguo
CNE2590287;1;2;2568.77;5137.54;ambiguo
CNE2590309;1;2;6635.72;13271.44;ambiguo
CNE2590330;1;2;162274.16;324548.32;ambiguo
CNE2590352;1;2;27303.70;54607.40;ambiguo
CNE2590373;1;2;2764.86;5529.72;ambiguo
CNE2590375;1;2;6606.14;13212.28;ambiguo
CNE2590403;1;2;824.49;1648.98;ambiguo
CNE2590405;1;2;5434.82;10869.64;ambiguo
CNE2590415;1;2;1077.28;2154.56;ambiguo
CNE2590448;1;2;2726.07;5452.14;ambiguo
CNE2590463;1;2;265.90;531.80;ambiguo
CNE2590492;1;2;21379.48;42758.96;ambiguo
CNE2590503;1;2;26.86;53.72;ambiguo
CNE2590540;1;2;6680.00;13360.00;ambiguo
CNE2590550;1;2;4959.54;9919.08;ambiguo
CNE2590572;1;2;99806.11;199612.22;ambiguo
CNE2590603;1;2;4401.60;8803.20;ambiguo
CNE2590617;1;2;3518.28;7036.56;ambiguo
CNE2590639;1;2;1465.58;2931.16;ambiguo
CNE2590661;1;2;4031.73;8063.46;ambiguo
CNE2590690;1;2;10905.59;21811.18;ambiguo
CNE2590704;1;2;26668.29;53336.58;ambiguo
CNE2590726;1;2;222046.53;444093.06;ambiguo
CNE2590745;1;2;938.12;1876.24;ambiguo
CNE2590778;1;2;10336.53;20673.06;ambiguo
CNE2590792;1;2;17196.88;34393.76;ambiguo
CNE2590815;1;2;2854.87;5709.74;ambiguo
CNE2590845;1;2;831.81;1663.62;ambiguo
CNE2590855;1;2;122.72;245.44;ambiguo
CNE2590888;1;2;14827.79;29655.58;ambiguo
CNE2590911;1;2;207.15;414.30;ambiguo
CNE2590933;1;2;1081.59;2163.18;ambiguo
