key;akd_rows;ct2_rows;akd_total;ct2_total;status
0000320383;2;4;283.86;567.72;ambiguo
0000320700;2;5;97054.48;94385.50;ambiguo
0000320733;2;2;20000.82;19842.92;ambiguo
0000320734;2;2;284802.38;282553.94;ambiguo
0000320735;2;2;7388.88;7330.54;ambiguo
0000320736;2;2;21111.12;20944.46;ambiguo
0000320737;2;2;7388.88;7330.54;ambiguo
0000320739;2;2;4466.90;4431.64;ambiguo
0000320740;2;2;23320.06;23135.96;ambiguo
0000320741;2;2;3409.36;3382.44;ambiguo
0000320742;2;2;16888.88;16755.54;ambiguo
0000320749;2;2;2595.40;2574.90;ambiguo
0000320750;2;2;3505.18;3477.50;ambiguo
0000320805;2;5;22865.76;22236.95;ambiguo
0000320806;2;5;3711.44;7054.71;ambiguo
0000320819;2;5;62570.20;60849.52;ambiguo
0000320824;2;5;141800.00;140736.50;ambiguo
0000320826;2;2;7622.00;7468.80;ambiguo
0000320829;2;5;7254.20;7054.72;ambiguo
0000320842;2;2;3390.00;3390.00;forte_grupo
0000320843;2;2;2950.00;2950.00;forte_grupo
0000320845;2;2;25675.34;25675.34;forte_grupo
0000320847;2;2;1260.00;1260.00;forte_grupo
0000320849;2;5;11744.52;11656.44;ambiguo
0000320864;2;5;50000.00;49625.00;ambiguo
0000320870;2;2;20000.82;19842.92;ambiguo
0000320871;2;2;9972.62;9473.98;ambiguo
0000320872;2;2;40006.80;39690.96;ambiguo
0000320873;2;2;100000.00;99210.52;ambiguo
0000320874;2;2;344044.06;341327.92;ambiguo
0000320875;2;2;300960.00;298584.00;ambiguo
0000320876;2;2;74358.18;73771.04;ambiguo
0000320877;2;2;81170.86;80530.04;ambiguo
0000320878;2;2;7388.88;7330.54;ambiguo
0000320879;2;2;5277.78;5236.12;ambiguo
0000320880;2;2;5277.78;5236.12;ambiguo
0000320884;2;2;4221.80;4188.46;ambiguo
0000320885;2;2;8952.80;8882.12;ambiguo
0000320886;2;2;1777.72;1763.68;ambiguo
0000320887;2;2;26800.02;26588.44;ambiguo
0000320888;2;2;92920.18;92186.60;ambiguo
0000320890;2;2;1211.44;1201.88;ambiguo
0000320891;2;2;65984.48;65463.54;ambiguo
0000320892;2;2;11621.54;11529.80;ambiguo
0000320895;2;2;14835.58;14718.46;ambiguo
0000320896;2;2;2465.44;2445.98;ambiguo
0000320897;2;2;4560.00;4524.00;ambiguo
0000320898;2;2;8240.68;8175.62;ambiguo
0000320899;2;2;9249.20;9176.18;ambiguo
0000320900;2;2;7078.40;7022.52;ambiguo
0000320901;2;2;4014.00;3982.30;ambiguo
0000320902;2;2;30320.20;30080.82;ambiguo
0000320905;2;2;5911.12;5864.46;ambiguo
0000320906;2;2;5911.12;5864.46;ambiguo
0000320907;2;2;5911.12;5864.46;ambiguo
0000320908;2;2;5911.12;5864.46;ambiguo
0000320909;2;2;4222.22;4188.88;ambiguo
0000320910;2;2;7362.50;7304.38;ambiguo
0000320911;2;2;2037.76;2021.68;ambiguo
0000320913;2;2;4500.74;4465.20;ambiguo
0000320914;2;2;5115.76;5075.38;ambiguo
0000320915;2;2;2456.70;2437.30;ambiguo
0000320916;2;2;19088.16;18937.46;ambiguo
0000320917;2;2;15860.26;15735.04;ambiguo
0000320918;2;2;20863.72;20699.00;ambiguo
0000320919;2;2;3690.48;3661.34;ambiguo
0000320920;2;2;2416.80;2397.72;ambiguo
0000320921;2;2;1752.76;1738.92;ambiguo
0000320922;2;2;1871.32;1856.54;ambiguo
0000320923;2;2;270184.86;268051.82;ambiguo
0000320924;2;2;2425.70;2406.56;ambiguo
0000320925;2;2;130924.66;129891.04;ambiguo
0000320926;2;2;21081.52;20915.08;ambiguo
0000320927;2;2;4222.22;4188.88;ambiguo
0000320938;2;5;58313.84;56710.21;ambiguo
0000320939;2;5;30176.62;29346.76;ambiguo
0000320941;2;5;63186.76;61449.12;ambiguo
0000320942;2;5;100104.10;97351.24;ambiguo
0000320944;2;5;19515.04;18392.92;ambiguo
0000320945;2;5;12556.52;12462.35;ambiguo
0000320948;2;2;424615.40;424615.40;forte_grupo
0000320950;2;2;14250.02;14137.52;ambiguo
0000320951;2;2;39520.00;38680.20;ambiguo
0000320952;2;5;108360.08;107547.38;ambiguo
0000320954;2;5;71378.82;70843.48;ambiguo
0000320955;2;5;2455.38;2436.96;ambiguo
0000320956;2;5;2713.60;2693.25;ambiguo
0000320957;2;2;7312.30;7024.20;ambiguo
