akd_recno;akd_lote;akd_data;akd_valor;akd_xdoc;akd_xnumap;akd_conta_referencia;akd_historico
2402682;0000205512;20260113;1900492.61;SE5240379;;4111010099;122025 -VALOR REFERENTE AO REPASSE INSS JANEIRO/2026 - COMPETÊNCIA: DEZEMBRO/2025
2402683;0000205512;20260113;1900492.61;SE5240379;;4111010099;122025 -VALOR REFERENTE AO REPASSE INSS JANEIRO/2026 - COMPETÊNCIA: DEZEMBRO/2025
2402686;0000205513;20260113;5815.21;SE5240381;;4111010099;122025 -REPASSE RFB E-SOCIAL JANEIRO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: DEZEMBRO/2025.
2402687;0000205513;20260113;5815.21;SE5240381;;4111010099;122025 -REPASSE RFB E-SOCIAL JANEIRO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: DEZEMBRO/2025.
2418414;0000209695;20260130;75130997.36;SE150800;;4111010001;012026 -VALOR REFERENTE AO REPASSE INSS FEVEREIRO/2026 - COMPETÊNCIA: JANEIRO/2026
2418415;0000209695;20260130;1126964.96;SE150800;;4111010099;012026 -VALOR REFERENTE AO REPASSE INSS FEVEREIRO/2026 - COMPETÊNCIA: JANEIRO/2026
2418418;0000209696;20260130;302430.17;SE150801;;4111010001;012026 -REPASSE RFB E-SOCIAL FEVEREIRO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: JANEIRO/2026.
2418419;0000209696;20260130;4536.45;SE150801;;4111010099;012026 -REPASSE RFB E-SOCIAL FEVEREIRO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: JANEIRO/2026.
2419848;0000210137;20260213;1126964.96;SE5244658;;4111010099;012026 -VALOR REFERENTE AO REPASSE INSS FEVEREIRO/2026 - COMPETÊNCIA: JANEIRO/2026
2419849;0000210137;20260213;1126964.96;SE5244658;;4111010099;012026 -VALOR REFERENTE AO REPASSE INSS FEVEREIRO/2026 - COMPETÊNCIA: JANEIRO/2026
2419852;0000210138;20260213;4536.45;SE5244660;;4111010099;012026 -REPASSE RFB E-SOCIAL FEVEREIRO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: JANEIRO/2026.
2419853;0000210138;20260213;4536.45;SE5244660;;4111010099;012026 -REPASSE RFB E-SOCIAL FEVEREIRO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: JANEIRO/2026.
2434136;0000212879;20260227;74930564.56;SE150945;;4111010001;022026 -VALOR REFERENTE AO REPASSE INSS MARCO/2026 - COMPETÊNCIA: FEVEREIRO/2026
2434137;0000212879;20260227;1123958.47;SE150945;;4111010099;022026 -VALOR REFERENTE AO REPASSE INSS MARCO/2026 - COMPETÊNCIA: FEVEREIRO/2026
2434140;0000212880;20260227;347928.02;SE150946;;4111010001;022026 -REPASSE RFB E-SOCIAL MARCO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: FEVEREIRO/2026.
2434141;0000212880;20260227;5218.92;SE150946;;4111010099;022026 -REPASSE RFB E-SOCIAL MARCO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: FEVEREIRO/2026.
2435373;0000213294;20260313;1123958.47;SE5246693;;4111010099;022026 -VALOR REFERENTE AO REPASSE INSS MARCO/2026 - COMPETÊNCIA: FEVEREIRO/2026
2435374;0000213294;20260313;1123958.47;SE5246693;;4111010099;022026 -VALOR REFERENTE AO REPASSE INSS MARCO/2026 - COMPETÊNCIA: FEVEREIRO/2026
2435377;0000213295;20260313;5218.92;SE5246695;;4111010099;022026 -REPASSE RFB E-SOCIAL MARCO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: FEVEREIRO/2026.
2435378;0000213295;20260313;5218.92;SE5246695;;4111010099;022026 -REPASSE RFB E-SOCIAL MARCO/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: FEVEREIRO/2026.
2487381;0000216407;20260331;73920745.25;SE151166;;4111010001;032026 -VALOR REFERENTE AO REPASSE INSS ABRIL/2026 - COMPETÊNCIA: MARCO/2026
2487383;0000216408;20260331;206632.29;SE151167;;4111010001;032026 -REPASSE RFB E-SOCIAL ABRIL/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: MARCO/2026.
2487384;0000216408;20260331;3099.48;SE151167;;4111010099;032026 -REPASSE RFB E-SOCIAL ABRIL/2026 ,CONFORME LEI 8.029, ART 8º _ COMPETÊNCIA: MARCO/2026.
2487388;0000216407;20260331;1108811.18;SE151166;;4111010099;032026 -VALOR REFERENTE AO REPASSE INSS ABRIL/2026 - COMPETÊNCIA: MARCO/2026
2405166;0000206135;20260105;5.42;SE150674;;4141060001;05012026 -REND APLIC AUTOMAT ITAU
2413884;0000208470;20260122;4.01;SE2519073;;4141090003;22012026 -IRRF APLICACOES 13006488-2
2413885;0000208470;20260122;4.01;SE2519073;;4141090003;22012026 -IRRF APLICACOES 13006488-2
