conta,descricao,origem,akd_debito,akd_credito,akd_abs_saldo,ct2_debito,ct2_credito,ct2_abs_saldo,ct2_max,ct2_min,diff_abs_saldo,diff_ct2_debito,diff_ct2_credito,diff_ct2_max,diff_ct2_min,melhor_formula_ct2
1111010001,CAIXA MATRIZ  01,somente_ct2,0.00,0.00,0.00,2000.00,325.00,1675.00,2000.00,325.00,1675.00,2000.00,325.00,2000.00,325.00,ct2_credito
1111010002,CAIXA FILIAIS,somente_ct2,0.00,0.00,0.00,6236.29,6173.42,62.87,6236.29,6173.42,62.87,6236.29,6173.42,6236.29,6173.42,ct2_abs_saldo
1111010003,FUNDO FIXO DE CAIXA GERAL - TESOURARIA,somente_ct2,0.00,0.00,0.00,21605.60,26139.74,4534.14,26139.74,21605.60,4534.14,21605.60,26139.74,26139.74,21605.60,ct2_abs_saldo
1111010005,FUNDO FIXO DE CAIXA FILIAL SP,somente_ct2,0.00,0.00,0.00,0.00,205.98,205.98,205.98,0.00,205.98,0.00,205.98,205.98,0.00,ct2_debito
1111010006,FUNDO FIXO DE CAIXA JURIDICO,somente_ct2,0.00,0.00,0.00,2000.00,446.16,1553.84,2000.00,446.16,1553.84,2000.00,446.16,2000.00,446.16,ct2_credito
1111010007,FUNDO FIXO DE CAIXA FILIAL PE,somente_ct2,0.00,0.00,0.00,0.00,143.98,143.98,143.98,0.00,143.98,0.00,143.98,143.98,0.00,ct2_debito
1111010008,FUNDO FIXO DE CAIXA - PORTO ALEGRE,somente_ct2,0.00,0.00,0.00,0.00,124.52,124.52,124.52,0.00,124.52,0.00,124.52,124.52,0.00,ct2_debito
1111010009,FUNDO FIXO DE CAIXA - BELÉM,somente_ct2,0.00,0.00,0.00,861.79,210.68,651.11,861.79,210.68,651.11,861.79,210.68,861.79,210.68,ct2_credito
1111010011,FUNDO FIXO DE CAIXA - INFRAESTRUTURA,somente_ct2,0.00,0.00,0.00,17301.81,38064.56,20762.75,38064.56,17301.81,20762.75,17301.81,38064.56,38064.56,17301.81,ct2_debito
1111010012,FUNDO FIXO DE CAIXA GACC,somente_ct2,0.00,0.00,0.00,5567.64,4981.59,586.05,5567.64,4981.59,586.05,5567.64,4981.59,5567.64,4981.59,ct2_abs_saldo
1111019995,CCRED PRÉ PAGO - SEDE,somente_ct2,0.00,0.00,0.00,19998.00,0.00,19998.00,19998.00,0.00,19998.00,19998.00,0.00,19998.00,0.00,ct2_credito
1112010001,C/C 7364-4 ARRECADACAO,somente_ct2,0.00,0.00,0.00,463163962.09,463163962.09,0.00,463163962.09,463163962.09,0.00,463163962.09,463163962.09,463163962.09,463163962.09,ct2_abs_saldo
1112010002,C/C 431589-8 OPERACOES FINANCEIRAS,somente_ct2,0.00,0.00,0.00,220034541.73,220034541.73,0.00,220034541.73,220034541.73,0.00,220034541.73,220034541.73,220034541.73,220034541.73,ct2_abs_saldo
1112010003,BB-C/C: 431611-8 - FAO DISPONIBILIDADES,somente_ct2,0.00,0.00,0.00,502050.91,502050.91,0.00,502050.91,502050.91,0.00,502050.91,502050.91,502050.91,502050.91,ct2_abs_saldo
1112010097,C/C 6503-X BACEN JUD,somente_ct2,0.00,0.00,0.00,79.30,79.30,0.00,79.30,79.30,0.00,79.30,79.30,79.30,79.30,ct2_abs_saldo
1112010098,C/C 5494-1 -AG 3307-3 HON DE SUCUMBEN,somente_ct2,0.00,0.00,0.00,341.94,341.94,0.00,341.94,341.94,0.00,341.94,341.94,341.94,341.94,ct2_abs_saldo
1112020001,C/C 6010-3 APEXPORT,somente_ct2,0.00,0.00,0.00,32441354.22,32441354.22,0.00,32441354.22,32441354.22,0.00,32441354.22,32441354.22,32441354.22,32441354.22,ct2_abs_saldo
1112030001,BANCO ITAU C/C AG 0542,somente_ct2,0.00,0.00,0.00,26.69,253.00,226.31,253.00,26.69,226.31,26.69,253.00,253.00,26.69,ct2_debito
1112040001,BANCO SANTANDER BRASIL SA,somente_ct2,0.00,0.00,0.00,13890510.64,13890510.64,0.00,13890510.64,13890510.64,0.00,13890510.64,13890510.64,13890510.64,13890510.64,ct2_abs_saldo
1112050002,BRADESCO AG 03416  CC 0110125-0 - FOP,somente_ct2,0.00,0.00,0.00,38256907.86,38256907.86,0.00,38256907.86,38256907.86,0.00,38256907.86,38256907.86,38256907.86,38256907.86,ct2_abs_saldo
1112060001,C/C 78948000-1 - AG 0003 - REMESSAS,somente_ct2,0.00,0.00,0.00,0.00,19998.00,19998.00,19998.00,0.00,19998.00,0.00,19998.00,19998.00,0.00,ct2_debito
1112070002,EA MIAMI_BB_EUA_OPERACAO,somente_ct2,0.00,0.00,0.00,8794218.91,5943526.08,2850692.83,8794218.91,5943526.08,2850692.83,8794218.91,5943526.08,8794218.91,5943526.08,ct2_abs_saldo
