tipo_grupo;recno_ancora;pares_no_grupo;pares_selecionados;pares_bloqueados;score_maximo;assinatura;evidencia;akd_recnos;ct2_recnos
ct2_Nx1;2109909;3;1;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414165|2414166|2414167;2109909
ct2_Nx1;2112578;3;1;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2425697|2425698|2425699;2112578
ct2_Nx1;2112799;3;1;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432812|2432813|2432814;2112799
ct2_Nx1;2126089;3;1;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2435213|2435214|2435215;2126089
akd_1xN;2414167;2;0;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414167;2109909|2109910
akd_1xN;2425699;2;0;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2425699;2112578|2112579
akd_1xN;2432814;2;0;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432814;2112799|2112800
akd_1xN;2435215;2;0;2;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2435215;2126089|2126090
akd_1xN;2414165;2;1;1;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414165;2109909|2109910
akd_1xN;2414166;2;1;1;699;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414166;2109909|2109910
