ct2_recno;rank;akd_recno_candidato;status_candidato;confidence;score;candidate_sources;reason_signature;reasons;ct2_xdoc;ct2_at01cr;ct2_xdocum;ct2_at04db;ct2_debito;ct2_credito;akd_xdoc;akd_xnumap;akd_ent05;akd_cc;akd_historico;ct2_historico
2067314;1;2397628;nao_selecionado_akd_ja_usado;muito_forte;361;ap_documental|cc_valor|competencia_valor|insights_chaves_candidatas|texto_tokens|tokens_documentais;cc|chave_estruturada|competencia|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|chave_estruturada_2:000315187|doc_extra_2:0000321331|doc_hist_1:000315187|competencia|cc|insight_xnumap_cc|insight_xnumap_valor|tokens_4+|texto_055;SE5239743;SE5239743;0000321331;0000321331;;1112050002;SE2512930;0000321331;3123030014;06030503;000315187-ASSINATURA TERMINAL BLOOMBERG;PGTO S/ TITULO 000315187-BLOOMBERG FINANCE L.P.-ASSINATURA TERMINAL BLOOMBERG
2067314;2;2397629;nao_selecionado_akd_ja_usado;muito_forte;361;ap_documental|cc_valor|competencia_valor|insights_chaves_candidatas|texto_tokens|tokens_documentais;cc|chave_estruturada|competencia|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|chave_estruturada_2:000315187|doc_extra_2:0000321331|doc_hist_1:000315187|competencia|cc|insight_xnumap_cc|insight_xnumap_valor|tokens_4+|texto_055;SE5239743;SE5239743;0000321331;0000321331;;1112050002;SE2512930;0000321331;3123030014;06030503;000315187-ASSINATURA TERMINAL BLOOMBERG;PGTO S/ TITULO 000315187-BLOOMBERG FINANCE L.P.-ASSINATURA TERMINAL BLOOMBERG
2067314;3;2397617;nao_selecionado_akd_ja_usado;muito_forte;310;ap_documental|cc_valor|competencia_valor|insights_chaves_candidatas|tokens_documentais;cc|competencia|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|doc_extra_2:0000321331|doc_hist_1:000315187|competencia|cc|insight_xnumap_cc|insight_xnumap_valor;SE5239743;SE5239743;0000321331;0000321331;;1112050002;SD127131;0000321331;3123030014;06030503;LIQUIDAÇÃO NOTA FISCAL 000315187 AP: 0000321331;PGTO S/ TITULO 000315187-BLOOMBERG FINANCE L.P.-ASSINATURA TERMINAL BLOOMBERG
2067380;1;2397808;nao_selecionado_akd_ja_usado;muito_forte;420;ap_documental|cc_valor|classe_valor|competencia_valor|insights_chaves_candidatas|tokens_documentais;cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|chave_estruturada_1:1803940101100190001|doc_extra_2:1803940101100190001|doc_hist_2:030012026|competencia|cc|classe_valor|competencia_classe|competencia_cc_classe|insight_xnumap_classe|insight_xnumap_cc|insight_xnumap_valor|insight_classe_valor_competencia;SF123359;SF123359;0000321442;0000321442;;2111010001;SD127147;0000321442;3112010007;06011105;LIQUIDAÇÃO NOTA FISCAL 030012026 AP: 0000321442;VLR. REF DOC 030012026 CAFEINA COMUNICACAO E MARKETING EIRELI-
2067380;2;2422731;nao_selecionado_akd_ja_usado;muito_forte;361;ap_documental|cc_valor|classe_valor|insights_chaves_candidatas|texto_tokens|tokens_documentais;cc|classe_valor|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|doc_extra_2:0000321442|doc_hist_2:030012026|cc|classe_valor|insight_xnumap_classe|insight_xnumap_cc|insight_xnumap_valor|tokens_2+|texto_055;SF123359;SF123359;0000321442;0000321442;;2111010001;SE2512985;0000321442;3112010007;06011105;030012026-REEMBOLSO – CONTRATO Nº 68-10/2025 CAFEÍNA COMUNICAÇÃO E MARKETING LTDA.;VLR. REF DOC 030012026 CAFEINA COMUNICACAO E MARKETING EIRELI-
2067380;3;2422732;nao_selecionado_akd_ja_usado;muito_forte;361;ap_documental|cc_valor|classe_valor|insights_chaves_candidatas|texto_tokens|tokens_documentais;cc|classe_valor|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|doc_extra_2:0000321442|doc_hist_2:030012026|cc|classe_valor|insight_xnumap_classe|insight_xnumap_cc|insight_xnumap_valor|tokens_2+|texto_055;SF123359;SF123359;0000321442;0000321442;;2111010001;SE2512985;0000321442;3112010007;06011105;030012026-REEMBOLSO – CONTRATO Nº 68-10/2025 CAFEÍNA COMUNICAÇÃO E MARKETING LTDA.;VLR. REF DOC 030012026 CAFEINA COMUNICACAO E MARKETING EIRELI-
2067388;1;2397828;nao_selecionado_akd_ja_usado;muito_forte;420;ap_documental|cc_valor|classe_valor|competencia_valor|insights_chaves_candidatas|tokens_documentais;cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|chave_estruturada_1:1803940101100190001|doc_extra_2:1803940101100190001|doc_hist_2:031012026|competencia|cc|classe_valor|competencia_classe|competencia_cc_classe|insight_xnumap_classe|insight_xnumap_cc|insight_xnumap_valor|insight_classe_valor_competencia;SF123360;SF123360;0000321448;0000321448;;2111010001;SD127148;0000321448;3112010007;06011105;LIQUIDAÇÃO NOTA FISCAL 031012026 AP: 0000321448;VLR. REF DOC 031012026 CAFEINA COMUNICACAO E MARKETING EIRELI-
2067388;2;2422733;nao_selecionado_akd_ja_usado;muito_forte;361;ap_documental|cc_valor|classe_valor|insights_chaves_candidatas|texto_tokens|tokens_documentais;cc|classe_valor|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|doc_extra_2:0000321448|doc_hist_2:031012026|cc|classe_valor|insight_xnumap_classe|insight_xnumap_cc|insight_xnumap_valor|tokens_2+|texto_055;SF123360;SF123360;0000321448;0000321448;;2111010001;SE2513036;0000321448;3112010007;06011105;031012026-REEMBOLSO – CONTRATO Nº 68-10/2025 CAFEÍNA COMUNICAÇÃO E MARKETING LTDA.;VLR. REF DOC 031012026 CAFEINA COMUNICACAO E MARKETING EIRELI-
2067388;3;2422734;nao_selecionado_akd_ja_usado;muito_forte;361;ap_documental|cc_valor|classe_valor|insights_chaves_candidatas|texto_tokens|tokens_documentais;cc|classe_valor|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|doc_extra_2:0000321448|doc_hist_2:031012026|cc|classe_valor|insight_xnumap_classe|insight_xnumap_cc|insight_xnumap_valor|tokens_2+|texto_055;SF123360;SF123360;0000321448;0000321448;;2111010001;SE2513036;0000321448;3112010007;06011105;031012026-REEMBOLSO – CONTRATO Nº 68-10/2025 CAFEÍNA COMUNICAÇÃO E MARKETING LTDA.;VLR. REF DOC 031012026 CAFEINA COMUNICACAO E MARKETING EIRELI-
2067396;1;2397856;nao_selecionado_akd_ja_usado;muito_forte;340;ap_documental|cc_valor|competencia_valor|insights_chaves_candidatas|tokens_documentais;cc|chave_estruturada|competencia|doc_extra|doc_hist|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;valor|xnumap_xdocum|xnumap_at04db|chave_estruturada_2:0145900101100190001|doc_extra_2:0145900101100190001|doc_hist_1:000211025|competencia|cc|insight_xnumap_cc|insight_xnumap_valor;SF123354;SF123354;0000321330;0000321330;;2111010001;SD127139;0000321330;3121030002;06030603;LIQUIDAÇÃO NOTA FISCAL 000211025 AP: 0000321330;VLR. REF DOC 000211025 FABIANA CATUNDA LEMOS-
